initial_state_id,scenario_id,path_id,joint_stream_position,wind_seed,resistance_seed,final_D_exact,final_A_exact,final_C_exact,max_DAC_error
7,1,1,13818,350960856,20960744,1,1,1,0
7,224,224,3522,350960856,20960744,1,1,1,0
7,3576,3576,11543,350960856,20960744,1,1,1,0
7,3952,3952,10669,350960856,20960744,1,1,1,0
7,5076,5076,6754,350960856,20960744,1,1,1,0
7,7008,7008,12174,350960856,20960744,1,1,1,0
7,8245,8245,3859,350960856,20960744,1,1,1,0
7,9192,9192,1832,350960856,20960744,1,1,1,0
7,12748,12748,11204,350960856,20960744,1,1,1,0
7,13663,13663,6717,350960856,20960744,1,1,1,0
11,3251,3251,10507,351360932,21360756,1,1,1,0
11,3520,3520,5841,351360932,21360756,1,1,1,0
11,3957,3957,3963,351360932,21360756,1,1,1,0
11,6042,6042,14910,351360932,21360756,1,1,1,0
11,7036,7036,10966,351360932,21360756,1,1,1,0
11,8255,8255,2983,351360932,21360756,1,1,1,0
11,8359,8359,4820,351360932,21360756,1,1,1,0
11,10407,10407,1081,351360932,21360756,1,1,1,0
11,11668,11668,13881,351360932,21360756,1,1,1,0
11,13138,13138,5090,351360932,21360756,1,1,1,0
11,14538,14538,4756,351360932,21360756,1,1,1,0
11,14693,14693,1218,351360932,21360756,1,1,1,0
18,1303,1303,4670,352061065,22060777,1,1,1,0
18,4847,4847,14434,352061065,22060777,1,1,1,0
18,5578,5578,5365,352061065,22060777,1,1,1,0
18,6256,6256,2480,352061065,22060777,1,1,1,0
18,6733,6733,8067,352061065,22060777,1,1,1,0
18,7951,7951,14121,352061065,22060777,1,1,1,0
18,8139,8139,10681,352061065,22060777,1,1,1,0
18,8902,8902,11298,352061065,22060777,1,1,1,0
18,9141,9141,12576,352061065,22060777,1,1,1,0
18,9796,9796,275,352061065,22060777,1,1,1,0
18,11027,11027,6401,352061065,22060777,1,1,1,0
18,13105,13105,13346,352061065,22060777,1,1,1,0
21,353,353,6789,352361122,22360786,1,1,1,0
21,2987,2987,3897,352361122,22360786,1,1,1,0
21,4441,4441,3859,352361122,22360786,1,1,1,0
21,4757,4757,8364,352361122,22360786,1,1,1,0
21,5018,5018,124,352361122,22360786,1,1,1,0
21,5390,5390,1016,352361122,22360786,1,1,1,0
21,8542,8542,3699,352361122,22360786,1,1,1,0
21,10381,10381,8197,352361122,22360786,1,1,1,0
21,11340,11340,3209,352361122,22360786,1,1,1,0
21,11613,11613,721,352361122,22360786,1,1,1,0
21,13657,13657,2719,352361122,22360786,1,1,1,0
21,14463,14463,62,352361122,22360786,1,1,1,0
30,2508,2508,12862,353261293,23260813,1,1,1,0
30,3941,3941,3913,353261293,23260813,1,1,1,0
30,3991,3991,5494,353261293,23260813,1,1,1,0
30,4413,4413,4522,353261293,23260813,1,1,1,0
30,4869,4869,6516,353261293,23260813,1,1,1,0
30,5821,5821,4212,353261293,23260813,1,1,1,0
30,6378,6378,6354,353261293,23260813,1,1,1,0
30,9716,9716,13547,353261293,23260813,1,1,1,0
30,9931,9931,9317,353261293,23260813,1,1,1,0
30,10710,10710,181,353261293,23260813,1,1,1,0
30,10786,10786,13360,353261293,23260813,1,1,1,0
30,11691,11691,5353,353261293,23260813,1,1,1,0
31,1040,1040,9963,353361312,23360816,1,1,1,0
31,1750,1750,12364,353361312,23360816,1,1,1,0
31,2677,2677,6171,353361312,23360816,1,1,1,0
31,3225,3225,799,353361312,23360816,1,1,1,0
31,3295,3295,1852,353361312,23360816,1,1,1,0
31,5253,5253,7676,353361312,23360816,1,1,1,0
31,6188,6188,9303,353361312,23360816,1,1,1,0
31,8102,8102,8053,353361312,23360816,1,1,1,0
31,11336,11336,1689,353361312,23360816,1,1,1,0
31,11578,11578,1120,353361312,23360816,1,1,1,0
31,11805,11805,12602,353361312,23360816,1,1,1,0
31,12300,12300,14960,353361312,23360816,1,1,1,0
