evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,T1,T2,T3,T4,Q_agg,Q_period,Q_period_minus_Q_agg,absolute_difference,relative_difference,relative_difference_ge_10pct,direction,period_service_cost,period_shortage_kg,period_shortage_loss,W1_service_kg,W2_service_kg,W3_service_kg,W1_shortage_kg,W2_shortage_kg,W3_shortage_kg,W1_service_cost,W2_service_cost,W3_service_cost,period_reachable_agg_masked_relation_count,partially_reachable_critical_site_node_count,period_reachable_but_agg_node_unreachable_demand_kg,period_service_on_agg_unreachable_relations_kg,period_service_cost_on_agg_unreachable_relations,temporal_masking_used_by_solution,large_difference_with_temporal_masking
1,1,STEP03T_TIER1,7,3576,3576,xi_r,T_r,T_R_ON_R,0,2.27737204666177e-09,8.18263644318536,0,6.81886371455225,6.81886371455225,8.88178419700125e-16,8.88178419700125e-16,1.30253141414844e-16,0,NUMERICALLY_EQUAL,6.81886371455225,0,0,0,0,8.18263644546273,0,0,0,0,0,6.81886371455225,0,0,0,0,0,0,0
2,1,STEP03T_TIER1,7,8245,8245,xi_s,T_r,T_R_ON_S,0,2.27737204666177e-09,8.18263644318536,0,6552.92802007998,6552.92802007998,-1.81898940354586e-12,1.81898940354586e-12,2.77584218531315e-16,0,NUMERICALLY_EQUAL,6.81886370980776,3.27305457818509,6546.10915637017,0,0,8.18263644546273,0,0,3.27305457818509,0,0,6.81886370980776,0,0,0,0,0,0,0
3,1,STEP03T_TIER1,7,3576,3576,xi_r,T_s,T_S_ON_R,0,4.45714164243334e-08,11.4556909790764,0,6.81886370455227,6.81886370455227,4.44089209850063e-15,4.44089209850063e-15,6.51265708029314e-16,0,NUMERICALLY_EQUAL,6.81886370455227,0,0,0,0,8.18263644546273,0,0,0,0,0,6.81886370455227,0,0,0,0,0,0,0
4,1,STEP03T_TIER1,7,8245,8245,xi_s,T_s,T_S_ON_S,0,4.45714164243334e-08,11.4556909790764,0,20.4565911236568,20.4565911236568,2.1316282072803e-14,2.1316282072803e-14,1.04202513233752e-15,0,NUMERICALLY_EQUAL,20.4565911236568,0,0,0,0,11.4556910236478,0,0,0,0,0,20.4565911236568,0,0,0,0,0,0,0
5,2,STEP03T_TIER1,7,3576,3576,xi_r,T_r,T_R_ON_R,0,2.27737204666177e-09,8.18263644318536,0,6.81886371455225,6.81886371455225,8.88178419700125e-16,8.88178419700125e-16,1.30253141414844e-16,0,NUMERICALLY_EQUAL,6.81886371455225,0,0,0,0,8.18263644546273,0,0,0,0,0,6.81886371455225,0,0,0,0,0,0,0
6,2,STEP03T_TIER1,7,1,1,xi_s,T_r,T_R_ON_S,0,2.27737204666177e-09,8.18263644318536,0,0,0,0,0,0,0,NUMERICALLY_EQUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,STEP03T_TIER1,7,3576,3576,xi_r,T_s,T_S_ON_R,0,0,0,0,16365.2728909255,16365.2728909255,-4.72937244921923e-11,4.72937244921923e-11,2.8898830350954e-15,0,NUMERICALLY_EQUAL,0,8.18263644546273,16365.2728909255,0,0,0,0,0,8.18263644546273,0,0,0,0,0,0,0,0,0,0
8,2,STEP03T_TIER1,7,1,1,xi_s,T_s,T_S_ON_S,0,0,0,0,0,0,0,0,0,0,NUMERICALLY_EQUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,STEP03T_TIER1,7,5076,5076,xi_r,T_r,T_R_ON_R,108.010801080108,184.927583667458,16.3652728909255,16.3652728909204,62016.7492110801,61890.2921380008,-126.457073079269,126.457073079269,0.0020390793565922,0,AGGREGATE_OVERESTIMATES,2975.30973066997,29.4574912036654,58914.9824073309,0,177.563210866541,148.105719662876,0,0,29.4574912036654,0,1680.85626017018,1294.4534704998,55,76,14.7287456018329,18.001800180018,295.71525077782,1,0
10,3,STEP03T_TIER1,7,7008,7008,xi_s,T_r,T_R_ON_S,108.010801080108,184.927583667458,16.3652728909255,16.3652728909204,162234.790971232,162234.790971232,3.49245965480804e-10,3.49245965480804e-10,2.15271929892481e-15,0,NUMERICALLY_EQUAL,2946.1348328818,79.6443280691753,159288.656138351,0,168.835065324715,156.833865204697,0,33.821563974579,45.8227640945963,0,1589.27823338601,1356.8565994958,0,0,0,0,0,0,0
11,3,STEP03T_TIER1,7,5076,5076,xi_r,T_s,T_S_ON_R,194.201238305649,50.7323459618689,44.731746156664,115.647928174405,327801.050415221,115706.604642171,-212094.44577305,212094.44577305,0.647021861291759,1,AGGREGATE_OVERESTIMATES,2786.22169478534,56.4601914736928,112920.382947386,0,177.563210866541,121.103019392848,0,0,56.4601914736928,0,2115.78854392341,670.433150861932,55,76,14.7287456018329,107.192537435562,1979.21514429017,1,1
12,3,STEP03T_TIER1,7,7008,7008,xi_s,T_s,T_S_ON_S,194.201238305649,50.7323459618689,44.731746156664,115.647928174405,2673.46402291232,2673.46402291232,4.54747350886464e-13,4.54747350886464e-13,1.7009667868696e-16,0,NUMERICALLY_EQUAL,2673.46402291232,0,0,0,202.656629299294,202.656629299294,0,0,0,0,1336.73201146116,1336.73201145116,0,0,0,0,0,0,0
13,4,STEP03T_CONTROL,7,224,224,xi_r,T_r,T_R_ON_R,4.90958186727257,0,0,0,45936.7545879684,45936.7545879684,-7.27595761418343e-12,7.27595761418343e-12,1.58390763114317e-16,0,NUMERICALLY_EQUAL,113.990493377118,22.9113820472956,45822.7640945913,0,0,4.90958186727764,0,0,22.9113820472956,0,0,113.990493377118,0,0,0,0,0,0,0
