candidate,stage,hour_in_stage,global_hour,Vmin_pu,critical_bus,bus18_voltage_pu,voltage_binding,max_line_mva,critical_line,line_utilization,branch_binding,substation_import_kW,substation_utilization,substation_binding,HTT_kg,HTT_capacity_kg,HTT_utilization
ARM-B0001,5,4,36,0.932029559840564,18,0.932029559840564,0,3.69865614117145,1,0.616442690195241,0,3105.46369,0.635905521211091,0,0,160,0
ARM-B0001,5,5,37,0.931940611513906,33,0.932031097678759,0,3.73411946633581,1,0.622353244389301,0,3125.218,0.639950609497638,0,0,160,0
ARM-B0001,5,6,38,0.93136217871749,33,0.932999291691874,0,3.77598811848273,1,0.629331353080456,0,3133.996105,0.641748101271007,0,0,160,0
ARM-B0001,5,7,39,0.934351791079408,33,0.93679221777158,0,3.62379850356587,1,0.603966417260978,0,2992.5332,0.612780754904751,0,0,160,0
ARM-B0001,5,8,40,0.933579509550005,33,0.93526856944726,0,3.65900271030544,1,0.609833785050907,0,3035.0684,0.621490683992931,0,0,160,0
ARM-B0001,6,1,41,0.933475249017343,33,0.934353864330492,0,3.65851472983338,1,0.60975245497223,0,3048.55112,0.624251539357801,0,4.35786655769067,160,0.0272366659855667
ARM-B0001,6,2,42,0.934719750392014,18,0.934719750392014,0,3.5648728686945,1,0.594145478115749,0,2990.98147,0.612463007291857,0,0,160,0
ARM-B0001,6,3,43,0.929315773171461,18,0.929315773171461,0,3.74073835966949,1,0.623456393278249,0,3168.77041,0.648868832586265,0,0,160,0
ARM-B0001,6,4,44,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B0001,6,5,45,0.915940163768486,18,0.915940163768486,0,4.36935063825278,1,0.728225106375464,0,3715,0.760720216728473,0,0,160,0
ARM-B0001,6,6,46,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B0001,6,7,47,0.919105863079785,18,0.919105863079785,0,4.211748160731,1,0.701958026788501,0,3580.99995,0.733281038511077,0,0,160,0
ARM-B0001,6,8,48,0.925685799078383,18,0.925685799078383,0,3.88243020312589,1,0.647071700520982,0,3301.0004,0.675945555776252,0,0,160,0
