scope,initial_state_id,T_id,T_label,pair_count,aggregate_spearman,period_spearman,period_minus_aggregate_spearman,aggregate_low_mismatch_count,period_low_mismatch_count,aggregate_low_mismatch_share,period_low_mismatch_share,period_minus_aggregate_low_mismatch_share,aggregate_loss_slope_q90,period_loss_slope_q90,aggregate_nearest_relative_loss_median,period_nearest_relative_loss_median
POOLED,0,1,ZERO,5078,0.860122259279881,0.792086301585156,-0.0680359576947256,1057,1093,0.85587044534413,0.887175324675325,0.0313048793311951,2026549.06866266,6079577.65595025,0,0
POOLED,0,2,HALF_CAPACITY,5078,0.883533157986897,0.892545104356307,0.0090119463694095,1124,1136,0.910121457489878,0.922077922077922,0.0119564645880436,751587.217615586,1857971.50609842,0,0
POOLED,0,3,FULL_CAPACITY,5078,0.802001390527692,0.864279821064424,0.0622784305367319,1135,1136,0.919028340080972,0.922077922077922,0.00304958199695038,469045.881739154,981742.467310645,0,0
POOLED,0,4,STEP03YF_PERIOD_R2000,5078,0.805458685954387,0.867400940773719,0.0619422548193327,1136,1138,0.919838056680162,0.923701298701299,0.00386324202113675,482745.352634907,1008371.62745271,0,0
STATE,7,1,ZERO,231,0.927910758067838,0.925589195449137,-0.00232156261870087,58,58,0.966666666666667,0.966666666666667,0,1411959.37775929,4235878.13327787,0,0
STATE,7,2,HALF_CAPACITY,231,0.795201458583708,0.800180050483112,0.00497859189940442,59,59,0.983333333333333,0.983333333333333,0,248772.087924352,681476.919488575,0,0
STATE,7,3,FULL_CAPACITY,231,0.791886647116228,0.796776673451153,0.00489002633492475,59,59,0.983333333333333,0.983333333333333,0,248439.135717424,680668.358961754,0,0
STATE,7,4,STEP03YF_PERIOD_R2000,231,0.843679783336872,0.848816382012089,0.00513659867521721,59,59,0.983333333333333,0.983333333333333,0,554186.420556694,1529151.09945819,0,0
STATE,9,1,ZERO,1540,0.867098496680659,0.78583505636733,-0.0812634403133295,342,338,0.865822784810127,0.875647668393782,0.00982488358365585,2026566.29299627,6079698.87898881,0,0
STATE,9,2,HALF_CAPACITY,1540,0.892661359324886,0.880248975032395,-0.0124123842924908,362,356,0.916455696202532,0.922279792746114,0.00582409654358229,769715.093531784,1964776.96705186,0,0
STATE,9,3,FULL_CAPACITY,1540,0.854789534165671,0.915464378218364,0.0606748440526929,364,356,0.921518987341772,0.922279792746114,0.000760805404341758,374065.495235138,736897.377159974,0,0
STATE,9,4,STEP03YF_PERIOD_R2000,1540,0.857195584296581,0.916566531681549,0.0593709473849677,365,357,0.924050632911392,0.924870466321243,0.000819833409851034,379958.46431217,753301.620160307,0,0
STATE,11,1,ZERO,1596,0.822361877801919,0.786445227028228,-0.0359166507736911,332,340,0.853470437017995,0.874035989717224,0.0205655526992288,2026566.29299627,6079698.87898881,0,0
STATE,11,2,HALF_CAPACITY,1596,0.87036062300442,0.901300355145634,0.030939732141214,364,364,0.93573264781491,0.93573264781491,0,620136.801124088,1406804.88285617,0,0
STATE,11,3,FULL_CAPACITY,1596,0.865505454112401,0.877010959532502,0.0115055054201003,363,363,0.933161953727506,0.933161953727506,0,314624.119352748,820151.096983907,0,0
STATE,11,4,STEP03YF_PERIOD_R2000,1596,0.869786638970429,0.876316461372506,0.00652982240207678,363,363,0.933161953727506,0.933161953727506,0,313694.969269401,819583.198062631,0,0
STATE,19,1,ZERO,1711,0.85473156778688,0.75556453432095,-0.09916703346593,327,359,0.778571428571429,0.854761904761905,0.0761904761904761,2023448.05199585,6051800.6604615,0,0
STATE,19,2,HALF_CAPACITY,1711,0.856169028825727,0.861408233577251,0.00523920475152373,358,376,0.852380952380952,0.895238095238095,0.0428571428571429,799022.571198393,2012340.50220112,0.0691028766413295,0.0177623826497458
STATE,19,3,FULL_CAPACITY,1711,0.662058080153682,0.788242258473039,0.126184178319356,378,381,0.9,0.907142857142857,0.00714285714285712,619362.362313445,1188487.45495313,0.279310051778365,0.0718093058807047
STATE,19,4,STEP03YF_PERIOD_R2000,1711,0.678280464240511,0.813660395015255,0.135379930774744,377,382,0.897619047619048,0.90952380952381,0.0119047619047619,629995.386096206,1216177.91150658,0.321762212376868,0.0718637550946357
