initial_state_id,sample_id,path_id,T_id,T_label,T1_kg,T2_kg,T3_kg,T4_kg,operating_loss,service_cost,shortage_kg,shortage_loss,site1_service_kg,site2_service_kg,site3_service_kg,site4_service_kg,batch_solver_runtime_sec,max_demand_balance_error,max_site_capacity_violation
7,1,1,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,1,1,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,1,1,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,1,1,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,2,2,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,2,2,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,2,2,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,2,2,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,3,3,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,3,3,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,3,3,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,3,3,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,4,4,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,4,4,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,4,4,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,4,4,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,5,5,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,5,5,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,5,5,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,5,5,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,6,6,1,ZERO,0,0,0,0,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,6,6,2,HALF_CAPACITY,150,100,50,75,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,6,6,3,FULL_CAPACITY,300,200,100,150,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
7,6,6,4,STEP03YF_PERIOD_R2000,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,0,0,0,0,0,0,0,0,0.042666,3.5527136788005e-15,1.4210854715202e-14
