initial_state_id,sample_id_r,path_id_r,sample_id_s,path_id_s,d_D_aggregate,d_Ctilde_aggregate,d_aggregate,raw_D_l1_aggregate_kg,raw_D_l1_W1_kg,raw_D_l1_W2_kg,raw_D_l1_W3_kg,d_D_W1,d_D_W2,d_D_W3,d_Ctilde_W1,d_Ctilde_W2,d_Ctilde_W3,d_D_period_mean,d_Ctilde_period_mean,d_period_mean,d_period_sum
7,5,5,155,155,0.453960077268729,0.313101491163719,0.397616642826725,192.291956468374,0,0,192.291956468374,0,0,0.453960077268729,0,0,0.313306370402352,0.151320025756243,0.104435456800784,0.132566198174059,0.397698594522178
7,6,6,155,155,0.453960077268729,0.313101491163719,0.397616642826725,192.291956468374,0,0,192.291956468374,0,0,0.453960077268729,0,0,0.313306370402352,0.151320025756243,0.104435456800784,0.132566198174059,0.397698594522178
7,7,7,155,155,0.453960077268729,0.313101491163719,0.397616642826725,192.291956468374,0,0,192.291956468374,0,0,0.453960077268729,0,0,0.313306370402352,0.151320025756243,0.104435456800784,0.132566198174059,0.397698594522178
7,8,8,155,155,0.453960077268729,0.313101491163719,0.397616642826725,192.291956468374,0,0,192.291956468374,0,0,0.453960077268729,0,0,0.313306370402352,0.151320025756243,0.104435456800784,0.132566198174059,0.397698594522178
7,35,35,155,155,0.166130070830258,0.311345279618939,0.22421615434573,70.3706734309795,0,0,70.3706734309795,0,0,0.166130070830258,0,0,0.311462947644315,0.0553766902767527,0.103820982548105,0.0747544071852936,0.224263221555881
7,1,1,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,2,2,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,3,3,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,4,4,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,5,5,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
