scope,initial_state_id,T_id,T_label,distance_metric,pair_count,zero_distance_pair_count,positive_distance_pair_count,spearman_distance_abs_loss,low_positive_distance_q25,low_positive_pair_count,low_positive_large_mismatch_count,low_positive_large_mismatch_share,loss_slope_median,loss_slope_q90,loss_slope_maximum,nearest_neighbor_pair_count,nearest_neighbor_relative_loss_median,nearest_neighbor_relative_loss_q90,nearest_neighbor_relative_loss_maximum
STATE,7,1,ZERO,aggregate,231,28,203,0.927910758067838,0.109180001421847,60,58,0.966666666666667,1309542.47375903,1411959.37775929,1411959.37775929,53,0,1,1
STATE,7,1,ZERO,period,231,28,203,0.925589195449137,0.0368466297213286,60,58,0.966666666666667,3721854.84044345,4235878.13327787,4235878.13327787,53,0,1,1
STATE,7,2,HALF_CAPACITY,aggregate,231,28,203,0.795201458583708,0.109180001421847,60,59,0.983333333333333,5471.57397534154,248772.087924352,890644.254684948,53,0,1,1
STATE,7,2,HALF_CAPACITY,period,231,28,203,0.800180050483112,0.0368466297213286,60,59,0.983333333333333,16372.3501035542,681476.919488575,2669688.38701482,53,0,1,1
STATE,7,3,FULL_CAPACITY,aggregate,231,28,203,0.791886647116228,0.109180001421847,60,59,0.983333333333333,5033.74281992785,248439.135717424,890644.254684948,53,0,1,1
STATE,7,3,FULL_CAPACITY,period,231,28,203,0.796776673451153,0.0368466297213286,60,59,0.983333333333333,15052.023835654,680668.358961754,2669688.38701482,53,0,1,1
STATE,7,4,STEP03YF_PERIOD_R2000,aggregate,231,28,203,0.843679783336872,0.109180001421847,60,59,0.983333333333333,5577.53081951826,554186.420556694,1119191.41439477,53,0,1,1
STATE,7,4,STEP03YF_PERIOD_R2000,period,231,28,203,0.848816382012089,0.0368466297213286,60,59,0.983333333333333,16566.2527445386,1529151.09945819,3246119.96991269,53,0,1,1
STATE,9,1,ZERO,aggregate,1540,49,1491,0.867098496680659,0.113862718707753,395,342,0.865822784810127,1341882.17546757,2026566.29299627,2026566.29299627,103,0,1,1
STATE,9,1,ZERO,period,1540,49,1491,0.78583505636733,0.0379542395692512,386,338,0.875647668393782,3647819.32739328,6079698.87898881,6079698.87898881,102,0,1,1
STATE,9,2,HALF_CAPACITY,aggregate,1540,49,1491,0.892661359324886,0.113862718707753,395,362,0.916455696202532,149199.612352005,769715.093531784,2012289.06351756,103,0,1,1
