scope,initial_state_id,sample_id_r,path_id_r,sample_id_s,path_id_s,T_id,T_label,distance_metric,distance,low_positive_distance_q25,Q_r,Q_s,absolute_loss_difference,relative_loss_difference,loss_slope
STATE,7,1,1,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,2,2,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,3,3,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,4,4,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,5,5,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,6,6,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,7,7,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,8,8,1297,1297,1,ZERO,aggregate,0.0479072762394233,0.109180001421847,0,67643.1279491585,67643.1279491585,1,1411959.37775929
STATE,7,1,1,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,2,2,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,3,3,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,4,4,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,5,5,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,6,6,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,7,7,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,8,8,224,224,1,ZERO,aggregate,0.0515769953562636,0.109180001421847,0,55641.9278291465,55641.9278291465,1,1078812.89797525
STATE,7,1,1,1136,1136,1,ZERO,aggregate,0.0602704443012099,0.109180001421847,0,85099.4190328124,85099.4190328124,1,1411959.37775929
STATE,7,2,2,1136,1136,1,ZERO,aggregate,0.0602704443012099,0.109180001421847,0,85099.4190328124,85099.4190328124,1,1411959.37775929
STATE,7,3,3,1136,1136,1,ZERO,aggregate,0.0602704443012099,0.109180001421847,0,85099.4190328124,85099.4190328124,1,1411959.37775929
STATE,7,4,4,1136,1136,1,ZERO,aggregate,0.0602704443012099,0.109180001421847,0,85099.4190328124,85099.4190328124,1,1411959.37775929
STATE,7,1,1,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,2,2,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,3,3,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,4,4,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,5,5,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,6,6,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,7,7,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,8,8,1297,1297,1,ZERO,period,0.0159690920798078,0.0368466297213286,0,67643.1279491585,67643.1279491585,1,4235878.13327787
STATE,7,1,1,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,2,2,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,3,3,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,4,4,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,5,5,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,6,6,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,7,7,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,8,8,224,224,1,ZERO,period,0.0172067851856425,0.0368466297213286,0,55641.9278291465,55641.9278291465,1,3233720.14172494
STATE,7,1,1,1136,1136,1,ZERO,period,0.0200901481004033,0.0368466297213286,0,85099.4190328124,85099.4190328124,1,4235878.13327787
STATE,7,2,2,1136,1136,1,ZERO,period,0.0200901481004033,0.0368466297213286,0,85099.4190328124,85099.4190328124,1,4235878.13327787
STATE,7,3,3,1136,1136,1,ZERO,period,0.0200901481004033,0.0368466297213286,0,85099.4190328124,85099.4190328124,1,4235878.13327787
STATE,7,4,4,1136,1136,1,ZERO,period,0.0200901481004033,0.0368466297213286,0,85099.4190328124,85099.4190328124,1,4235878.13327787
STATE,7,1,1,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,2,2,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,3,3,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,4,4,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,5,5,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,6,6,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,7,7,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,8,8,1297,1297,2,HALF_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,1,1,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,2,2,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,3,3,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,4,4,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,5,5,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,6,6,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,7,7,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,8,8,224,224,2,HALF_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,1,1,1136,1136,2,HALF_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,2,2,1136,1136,2,HALF_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,3,3,1136,1136,2,HALF_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,4,4,1136,1136,2,HALF_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,1,1,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,2,2,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,3,3,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,4,4,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,5,5,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,6,6,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,7,7,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,8,8,1297,1297,2,HALF_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,1,1,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,2,2,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,3,3,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,4,4,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,5,5,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,6,6,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,7,7,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,8,8,224,224,2,HALF_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,1,1,1136,1136,2,HALF_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,2,2,1136,1136,2,HALF_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,3,3,1136,1136,2,HALF_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,4,4,1136,1136,2,HALF_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,1,1,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,2,2,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,3,3,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,4,4,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,5,5,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,6,6,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,7,7,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,8,8,1297,1297,3,FULL_CAPACITY,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,1,1,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,2,2,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,3,3,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,4,4,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,5,5,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,6,6,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,7,7,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,8,8,224,224,3,FULL_CAPACITY,aggregate,0.0515769953562636,0.109180001421847,0,45936.7545879684,45936.7545879684,1,890644.254684948
STATE,7,1,1,1136,1136,3,FULL_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,2,2,1136,1136,3,FULL_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,3,3,1136,1136,3,FULL_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,4,4,1136,1136,3,FULL_CAPACITY,aggregate,0.0602704443012099,0.109180001421847,0,54.5509096364182,54.5509096364182,1,905.102165230315
STATE,7,1,1,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,2,2,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,3,3,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,4,4,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,5,5,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,6,6,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,7,7,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,8,8,1297,1297,3,FULL_CAPACITY,period,0.0159690920798078,0.0368466297213286,0,84.6063627341755,84.6063627341755,1,5298.1323115518
STATE,7,1,1,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,2,2,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,3,3,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,4,4,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,5,5,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,6,6,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,7,7,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,8,8,224,224,3,FULL_CAPACITY,period,0.0172067851856425,0.0368466297213286,0,45936.7545879684,45936.7545879684,1,2669688.38701482
STATE,7,1,1,1136,1136,3,FULL_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,2,2,1136,1136,3,FULL_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,3,3,1136,1136,3,FULL_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,4,4,1136,1136,3,FULL_CAPACITY,period,0.0200901481004033,0.0368466297213286,0,54.5509096364182,54.5509096364182,1,2715.30649569094
STATE,7,1,1,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,2,2,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,3,3,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,4,4,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,5,5,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
STATE,7,6,6,1297,1297,4,STEP03YF_PERIOD_R2000,aggregate,0.0479072762394233,0.109180001421847,0,84.6063627341755,84.6063627341755,1,1766.0441038506
