initial_state_id,sample_id,path_id,joint_stream_position,wind_seed,resistance_seed,frozen_nominal_weight,D_scale,demand_W1_kg,demand_W2_kg,demand_W3_kg,total_demand_kg,period_demand_concentration,period_demand_uniformity_cv,reachability_transition_count,aggregate_deleted_service_opportunity_count,selection_reason
7,1,1,13818,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,2,2,12472,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,3,3,833,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,4,4,5561,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,5,5,366,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,6,6,6463,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,7,7,3603,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,8,8,8925,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
7,35,35,11771,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,121.921283037395,121.921283037395,1,Inf,0,0,MEDIUM_DEMAND;SINGLE_PERIOD_CONCENTRATED;HIGH_DEMAND;LOW_DEMAND
7,155,155,11671,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,192.291956468374,192.291956468374,1,Inf,40,0,REACHABILITY_CHANGE;SINGLE_PERIOD_CONCENTRATED;HIGH_DEMAND;MEDIUM_DEMAND
7,224,224,3522,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,27.8209639145733,27.8209639145733,1,Inf,4,0,SINGLE_PERIOD_CONCENTRATED;REACHABILITY_CHANGE;LOW_DEMAND
7,322,322,11395,350960856,20960744,6.66666666666667e-05,423.587813326787,0,27.8209639145733,27.8209639145733,55.6419278291465,0.5,Inf,0,0,LOW_DEMAND;MEDIUM_DEMAND
7,424,424,14584,350960856,20960744,6.66666666666667e-05,423.587813326787,0,121.921283037395,121.921283037395,243.842566074789,0.5,Inf,0,0,HIGH_DEMAND
7,508,508,297,350960856,20960744,6.66666666666667e-05,423.587813326787,0,202.656629299294,202.656629299294,405.313258598587,0.5,Inf,16,0,HIGH_DEMAND;REACHABILITY_CHANGE
7,755,755,4205,350960856,20960744,6.66666666666667e-05,423.587813326787,0,115.375173881024,115.375173881024,230.750347762049,0.5,Inf,0,0,HIGH_DEMAND
7,1136,1136,1363,350960856,20960744,6.66666666666667e-05,423.587813326787,0,21.2748547582031,21.2748547582031,42.5497095164062,0.5,Inf,0,0,LOW_DEMAND;MEDIUM_DEMAND
7,1157,1157,4382,350960856,20960744,6.66666666666667e-05,423.587813326787,0,161.197937975616,161.197937975616,322.395875951231,0.5,Inf,0,0,HIGH_DEMAND
7,1168,1168,3860,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,112.102119302839,112.102119302839,1,Inf,35,0,MEDIUM_DEMAND;REACHABILITY_CHANGE;SINGLE_PERIOD_CONCENTRATED;LOW_DEMAND;HIGH_DEMAND
7,1170,1170,13569,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,136.650028639228,136.650028639228,1,Inf,0,0,MEDIUM_DEMAND;SINGLE_PERIOD_CONCENTRATED;HIGH_DEMAND
7,1297,1297,4766,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,33.8215639745793,33.8215639745793,1,Inf,0,0,LOW_DEMAND;SINGLE_PERIOD_CONCENTRATED
7,1513,1513,2664,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,73.3709734609824,73.3709734609824,1,Inf,0,0,LOW_DEMAND;MEDIUM_DEMAND;SINGLE_PERIOD_CONCENTRATED
7,1978,1978,2500,350960856,20960744,6.66666666666667e-05,423.587813326787,0,0,55.6419278291465,55.6419278291465,1,Inf,0,0,LOW_DEMAND;MEDIUM_DEMAND;SINGLE_PERIOD_CONCENTRATED
9,1,1,14277,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,2,2,14478,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,4,4,6440,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,5,5,8099,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,6,6,4551,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,7,7,3238,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,8,8,7491,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,9,9,6844,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,0,0,0,Inf,0,0,ZERO_DEMAND
9,18,18,5957,351160894,21160750,6.66666666666667e-05,607.969887897881,4.90958186727764,4.90958186727764,4.90958186727764,14.7287456018329,0.333333333333333,0,0,0,THREE_PERIOD_UNIFORM
9,39,39,8516,351160894,21160750,6.66666666666667e-05,607.969887897881,0,24.5479093363882,24.5479093363882,49.0958186727764,0.5,Inf,0,0,LOW_DEMAND
9,42,42,2131,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,202.656629299294,202.656629299294,1,Inf,4,0,SINGLE_PERIOD_CONCENTRATED
9,52,52,4859,351160894,21160750,6.66666666666667e-05,607.969887897881,202.656629299294,202.656629299294,202.656629299294,607.969887897881,0.333333333333333,0,31,29,HIGH_DEMAND;THREE_PERIOD_UNIFORM
9,56,56,10703,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,30.2757548482121,30.2757548482121,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,58,58,10429,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,141.559610506505,141.559610506505,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,63,63,9011,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,45.8227640945913,45.8227640945913,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,76,76,2158,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,21.2748547582031,21.2748547582031,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,77,77,5703,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,73.9164825573466,73.9164825573466,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,87,87,6910,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,68.4613915937048,68.4613915937048,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,92,92,2766,351160894,21160750,6.66666666666667e-05,607.969887897881,47.7320459318659,47.7320459318659,47.7320459318659,143.196137795598,0.333333333333333,0,0,0,THREE_PERIOD_UNIFORM
9,113,113,1794,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,46.9137822873196,46.9137822873196,1,Inf,0,0,SINGLE_PERIOD_CONCENTRATED
9,130,130,9483,351160894,21160750,6.66666666666667e-05,607.969887897881,0,0,115.375173881024,115.375173881024,1,Inf,0,0,MEDIUM_DEMAND
9,162,162,7478,351160894,21160750,6.66666666666667e-05,607.969887897881,19.6383274691105,19.6383274691105,19.6383274691105,58.9149824073316,0.333333333333333,0,0,0,THREE_PERIOD_UNIFORM
9,235,235,5964,351160894,21160750,6.66666666666667e-05,607.969887897881,0,24.5479093363882,24.5479093363882,49.0958186727764,0.5,Inf,0,0,LOW_DEMAND
9,268,268,13987,351160894,21160750,6.66666666666667e-05,607.969887897881,0,202.656629299294,202.656629299294,405.313258598587,0.5,Inf,114,34,REACHABILITY_CHANGE
