SAA_class,DRO_class,path_count
ADEQUATE,ADEQUATE,540
PURE_QUANTITY,ADEQUATE,0
PURE_LOCATION,ADEQUATE,33
MIXED,ADEQUATE,0
ADEQUATE,PURE_QUANTITY,16
PURE_QUANTITY,PURE_QUANTITY,50
PURE_LOCATION,PURE_QUANTITY,6
MIXED,PURE_QUANTITY,17
ADEQUATE,PURE_LOCATION,108
PURE_QUANTITY,PURE_LOCATION,0
PURE_LOCATION,PURE_LOCATION,81
MIXED,PURE_LOCATION,22
ADEQUATE,MIXED,37
PURE_QUANTITY,MIXED,26
PURE_LOCATION,MIXED,28
MIXED,MIXED,55
