model,variables,equalities,inequalities,total_rows,nnz_Aeq,nnz_A,nnz_total,note
legacy_total,37,8,5,13,44,24,68,"single representative stage before cuts"
hourly_grid_total,893,804,2053,2857,2216,3096,5312,"8 hourly copies, before cuts"
ratio_hourly_over_legacy,24.1351351351351,100.5,410.6,219.769230769231,50.3636363636364,129,78.1176470588235,"dimensionless ratio"
hourly_branch_P_variables,256,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_branch_Q_variables,256,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_voltage_variables,264,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_PV_variables,32,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_PEL_variables,32,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_grid_import_variables,16,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
hourly_H2_legacy_variables,37,NaN,NaN,NaN,NaN,NaN,NaN,"variable category count"
constraint_H2_inventory_eq,NaN,4,NaN,4,NaN,NaN,NaN,"matrix equality row category"
constraint_H2_production_eq,NaN,4,NaN,4,NaN,NaN,NaN,"matrix equality row category"
constraint_hourly_PEL_link_eq,NaN,4,NaN,4,NaN,NaN,NaN,"matrix equality row category"
constraint_grid_P_balance_eq,NaN,264,NaN,264,NaN,NaN,NaN,"matrix equality row category"
constraint_grid_Q_balance_eq,NaN,264,NaN,264,NaN,NaN,NaN,"matrix equality row category"
constraint_voltage_drop_eq,NaN,256,NaN,256,NaN,NaN,NaN,"matrix equality row category"
constraint_slack_voltage_eq,NaN,8,NaN,8,NaN,NaN,NaN,"matrix equality row category"
constraint_ordinary_demand_ineq,NaN,0,4,4,NaN,NaN,NaN,"matrix inequality row category"
constraint_HTT_capacity_ineq,NaN,0,1,1,NaN,NaN,NaN,"matrix inequality row category"
constraint_branch_octagon_ineq,NaN,0,2048,2048,NaN,NaN,NaN,"matrix inequality row category"
constraint_voltage_bounds,NaN,0,0,0,NaN,NaN,NaN,"implemented as 264 variable lower/upper bounds, not matrix rows"
constraint_PV_bounds,NaN,0,0,0,NaN,NaN,NaN,"implemented as 32 variable lower/upper bounds, not matrix rows"
constraint_PEL_bounds,NaN,0,0,0,NaN,NaN,NaN,"implemented as 32 variable lower/upper bounds, not matrix rows"
