snapshot,global_hour,reconstructed_max_s_mva,reconstructed_tight_branch,tight_from,tight_to,saved_or_limit_s_mva,max_s_error_mva,true_circle_margin_or_violation_mva,max_octagon_violation_kva,max_p_flow_error_kw,max_q_flow_error_kvar,octagon_a,octagon_b,pass
stage80_base_hour21,21,4.36935063825278,1,1,2,4.36935063825278,4.88498130835069e-15,-1.63064936174722,0,0,0,0.9238795325,1.3065629649,1
stage80_hosting_hour21,21,4.95640698938082,1,1,2,4.95640698938082,1.77635683940025e-15,-1.04359301061918,0,NaN,NaN,0.9238795325,1.3065629649,1
stage80_hosting_hour23,23,4.8365984209377,1,1,2,4.8365984209377,8.88178419700125e-16,-1.1634015790623,0,NaN,NaN,0.9238795325,1.3065629649,1
stage80_base_hour15_pv_positive,15,3.62379850356587,1,1,2,3.62379850356587,4.88498130835069e-15,-2.37620149643413,0,4.54747350886464e-13,2.27373675443232e-13,0.9238795325,1.3065629649,1
stage81_saa_aggregate,21,4.95640698938082,1,1,2,4.95640698938082,1.77635683940025e-15,-1.04359301061918,0,NaN,NaN,0.9238795325,1.3065629649,1
stage81_dro_aggregate,21,4.95640698938082,1,1,2,4.95640698938082,1.77635683940025e-15,-1.04359301061918,0,NaN,NaN,0.9238795325,1.3065629649,1
octagon_geometry,NaN,6.00000000001759,NaN,NaN,NaN,6,1.75912617805807e-11,1.75912617805807e-11,NaN,NaN,NaN,0.9238795325,1.3065629649,1
