state,intensity,loc,mode,T1,T2,T3,T4,max_inventory_violation_kg,binding_share_site1,binding_share_site2,binding_share_site3,binding_share_site4,inventory_qa
1,2,1,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999477,0.9999999999999477,0.9999999999999477,0.9999999999999477,PASS
1,2,1,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999477,0.9999999999999477,0.9999999999999477,0.9999999999999477,PASS
2,2,2,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478,PASS
2,2,2,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478,PASS
3,2,3,DRO,0.0,0.0,0.0,0.0,0.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948,PASS
3,2,3,SAA,0.0,0.0,0.0,0.0,0.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948,PASS
4,2,4,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486,PASS
4,2,4,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486,PASS
5,2,5,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999473,0.9999999999999473,0.9999999999999473,0.9999999999999473,PASS
5,2,5,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999473,0.9999999999999473,0.9999999999999473,0.9999999999999473,PASS
6,2,6,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482,PASS
6,2,6,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482,PASS
7,2,7,DRO,0.0,0.0,0.0,0.0,0.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,PASS
7,2,7,SAA,0.0,0.0,0.0,0.0,0.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,PASS
8,3,1,DRO,63.824487644017545,13.092178781483947,11.455677405500015,54.550939968034314,2.8421709430404007e-13,0.011866666666666621,0.016066666666666597,0.019533333333333243,0.012999999999999947,PASS
8,3,1,SAA,11.45569102364782,0.0,0.0,3.273054578185091,1.1191048088221578e-13,0.025933333333333204,0.9999999999999045,0.9999999999999045,0.030399999999999844,PASS
9,3,2,DRO,84.28079275323896,19.638395459201206,21.00480075033511,55.64176756515002,1.5631940186722204e-13,0.011466666666666623,0.015466666666666599,0.01853333333333325,0.015199999999999934,PASS
9,3,2,SAA,18.54730927638218,0.0,0.0,15.819763794561272,2.0250467969162855e-13,0.027466666666666528,0.9999999999999045,0.9999999999999045,0.029133333333333185,PASS
