state,intensity,loc,mode,eta,q_g_sum,p_g_sum,p_g_min,pearson_divergence,adversary_method,probability_qa
1,2,1,DRO,0.03,1.0,1.0,6.627019163290712e-05,0.030000000000000075,kkt_active_set,PASS
1,2,1,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
2,2,2,DRO,0.03,1.0,0.9999999999999997,6.625635258200832e-05,0.02999999999999995,kkt_active_set,PASS
2,2,2,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
3,2,3,DRO,0.03,1.0,1.0,6.620630396488601e-05,0.03000000000000003,kkt_active_set,PASS
3,2,3,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
4,2,4,DRO,0.03,1.0,1.0,6.624332387289521e-05,0.029999999999999985,kkt_active_set,PASS
4,2,4,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
5,2,5,DRO,0.03,1.0,1.0,6.635357769545193e-05,0.03000000000000004,kkt_active_set,PASS
5,2,5,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
6,2,6,DRO,0.03,1.0,1.0,6.649447210401821e-05,0.029999999999999964,kkt_active_set,PASS
6,2,6,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
7,2,7,DRO,0.03,1.0,1.0,6.654960476051347e-05,0.03000000000000007,kkt_active_set,PASS
7,2,7,SAA,0.0,1.0,1.0,6.666666666666667e-05,0.0,eta_zero_direct_saa,PASS
8,3,1,DRO,0.03,1.0,0.9999999999999998,6.567986904775037e-05,0.030000000000000037,kkt_active_set,PASS
8,3,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
9,3,2,DRO,0.03,1.0,0.9999999999999994,6.564877242019389e-05,0.029999999999999978,kkt_active_set,PASS
9,3,2,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
10,3,3,DRO,0.03,1.0,1.0,6.562722877070964e-05,0.03000000000000003,kkt_active_set,PASS
10,3,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
11,3,4,DRO,0.03,1.0,1.0,6.567674317963994e-05,0.03,kkt_active_set,PASS
11,3,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
