state,intensity,loc,mode,solver_status,objective,T1,T2,T3,T4,T_total,LB,UB,absolute_gap,relative_gap,iterations,cuts,runtime_sec,case_pass
1,2,1,DRO,OPTIMAL,1376.946729189425,0.0,0.0,0.0,0.0,0.0,1376.946729189425,1376.946729189425,0.0,0.0,1,3,1.5275674000000001,1
1,2,1,SAA,OPTIMAL,227.80333333333314,0.0,0.0,0.0,0.0,0.0,227.80333333333314,227.80333333333314,0.0,0.0,1,0,1.1634190999999998,1
2,2,2,DRO,OPTIMAL,1623.5626950337949,0.0,0.0,0.0,0.0,0.0,1623.5626950337949,1623.5626950337949,0.0,0.0,1,3,1.5030411000000001,1
2,2,2,SAA,OPTIMAL,276.3833333333336,0.0,0.0,0.0,0.0,0.0,276.3833333333336,276.3833333333336,0.0,0.0,1,0,1.6631754,1
3,2,3,DRO,OPTIMAL,1995.1181897428569,0.0,0.0,0.0,0.0,0.0,1995.1181897428569,1995.1181897428569,0.0,0.0,1,3,1.5693772,1
3,2,3,SAA,OPTIMAL,373.3099999999988,0.0,0.0,0.0,0.0,0.0,373.3099999999988,373.3099999999988,0.0,0.0,1,0,1.2369942999999999,1
4,2,4,DRO,OPTIMAL,1878.3539917019878,0.0,0.0,0.0,0.0,0.0,1878.3539917019878,1878.3539917019878,0.0,0.0,1,3,1.5442146999999997,1
4,2,4,SAA,OPTIMAL,328.1366666666654,0.0,0.0,0.0,0.0,0.0,328.1366666666654,328.1366666666654,0.0,0.0,1,0,1.5040750999999999,1
5,2,5,DRO,OPTIMAL,951.9140916657781,0.0,0.0,0.0,0.0,0.0,951.9140916657781,951.9140916657781,0.0,0.0,1,3,1.4779577000000002,1
5,2,5,SAA,OPTIMAL,128.84666666666658,0.0,0.0,0.0,0.0,0.0,128.84666666666658,128.84666666666658,0.0,0.0,1,0,1.6066479,1
6,2,6,DRO,OPTIMAL,267.5592420873259,0.0,0.0,0.0,0.0,0.0,267.5592420873259,267.5592420873259,0.0,0.0,1,3,1.4729769000000001,1
6,2,6,SAA,OPTIMAL,21.209999999999983,0.0,0.0,0.0,0.0,0.0,21.209999999999983,21.209999999999983,0.0,0.0,1,0,1.4828839999999999,1
7,2,7,DRO,OPTIMAL,599.6375613698044,0.0,0.0,0.0,0.0,0.0,599.6375613698044,599.6375613698044,0.0,0.0,1,3,1.5383708999999999,1
7,2,7,SAA,OPTIMAL,33.156666666666645,0.0,0.0,0.0,0.0,0.0,33.156666666666645,33.156666666666645,0.0,0.0,1,0,1.5470752,1
8,3,1,DRO,OPTIMAL,9910.07379411052,63.824487644017545,13.092178781483947,11.455677405500015,54.550939968034314,142.9232837990358,9910.073754746847,9910.07379411052,3.936367284040898e-05,3.972086753158438e-09,44,46,39.0743663,1
8,3,1,SAA,OPTIMAL,4851.945615512347,11.45569102364782,0.0,0.0,3.273054578185091,14.72874560183291,4851.945615512347,4851.945615512347,0.0,0.0,1,0,4.2455635,1
9,3,2,DRO,OPTIMAL,10815.72695144972,84.28079275323896,19.638395459201206,21.00480075033511,55.64176756515002,180.5657565279253,10815.72686550928,10815.72695144972,8.594044084020425e-05,7.945877445499393e-09,51,53,53.059563600000004,1
9,3,2,SAA,OPTIMAL,5875.144213973656,18.54730927638218,0.0,0.0,15.819763794561272,34.36707307094345,5875.144213973656,5875.144213973656,0.0,0.0,1,0,4.5380266,1
10,3,3,DRO,OPTIMAL,9650.389053543364,70.35486735377559,24.01839690512782,22.911379008946998,39.12287233693548,156.40751560478589,9650.388957779736,9650.389053543364,9.576362754160073e-05,9.923291901525866e-09,58,60,59.181213299999996,1
10,3,3,SAA,OPTIMAL,5475.322636722759,27.54820936639118,2.4547909336388183,3.273054578185091,18.001800180018,51.277855058233094,5475.322636722759,5475.322636722759,0.0,0.0,1,0,4.7933759,1
