duplicate_scope,input_rows,unique_rows,duplicate_rows,method,status
candidate exact physical 12-field key,1126,1126,0,exact integer equality,PASS
source proxy/level labels to physical paths,4005,1126,2879,exact integer physical key,PASS
formal three-period D/A/C among support-out paths,858,,,byte-exact required,NOT_RUN_NO_FORMAL_DAC
historical B3 candidate D/A/C,45040,,,byte-exact required,NOT_RUN_ONLY_SUMMARIES_AND_6_DECIMAL_SIGNATURES_STORED
