unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,recomputed_path_probability,path_probability_abs_error,all_transitions_positive,minimum_component_transition_probability,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,formal_stream_identity_available,formal_three_period_DAC_status,sampling_coverage_R15000,highest_listed_level,listed_level_count,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess
24,2,1,0,4,4,2,5,1,2,6,1,2,4.8384e-13,4.838400000000002e-13,2.0194839173657902e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,7.257599973665377e-09,q995,3,0,1,0,1
25,2,1,0,4,4,2,5,1,2,6,4,2,1.344e-13,1.3440000000000004e-13,5.048709793414476e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.0159999979680073e-09,q995,3,0,1,0,1
26,2,1,0,4,4,2,5,2,1,6,-1,3,6.72e-15,6.720000000000003e-15,2.3665827156630354e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0079999999492003e-10,q995,3,0,1,0,0
27,2,1,0,4,4,2,5,2,1,6,5,3,8.4e-15,8.400000000000004e-15,4.733165431326071e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.259999999920625e-10,q995,3,0,1,0,1
28,2,1,0,4,4,2,5,3,1,6,0,3,1.4784e-14,1.4784000000000007e-14,6.310887241768095e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.2175999997541293e-10,q995,3,0,1,0,1
29,2,1,0,4,4,2,6,1,1,4,-2,3,8e-16,8.000000000000003e-16,2.9582283945787943e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.1999999999928002e-11,q995,3,0,1,0,1
30,2,1,0,4,4,2,6,1,1,4,4,3,1e-15,1.0000000000000003e-15,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.499999999988751e-11,q995,3,0,1,0,1
31,2,1,0,4,4,2,6,1,2,4,-2,1,8e-15,8.000000000000002e-15,1.5777218104420236e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.1999999999280048e-10,q995,3,0,0,0,1
32,2,1,0,4,4,2,6,1,2,6,1,2,2.736e-12,2.736000000000001e-12,8.077935669463161e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.103999915791536e-08,q995,3,0,1,0,1
33,2,1,0,4,4,2,6,1,2,6,4,2,7.6e-13,7.600000000000003e-13,3.0292258760486853e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.1399999935024332e-08,q995,3,0,1,0,1
