unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,initial_state_valid,all_stage_states_in_formal_space,all_transitions_positive,path_complete_no_nan,formal_three_period_DAC_recoverable,validity_status
1,2,1,0,2,1,2,4,0,3,4,-1,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
2,2,1,0,2,3,1,2,3,3,4,1,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
3,2,1,0,3,1,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
4,2,1,0,3,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
5,2,1,0,3,4,1,5,1,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
6,2,1,0,3,4,2,5,1,1,6,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
7,2,1,0,3,4,2,5,1,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
8,2,1,0,3,4,2,5,1,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
9,2,1,0,3,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
10,2,1,0,3,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
11,2,1,0,3,4,2,5,1,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
12,2,1,0,3,4,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
13,2,1,0,3,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
14,2,1,0,3,4,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
15,2,1,0,3,4,2,5,7,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
16,2,1,0,3,4,2,5,7,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
17,2,1,0,4,1,1,5,-1,0,6,-2,1,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
18,2,1,0,4,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
19,2,1,0,4,1,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
20,2,1,0,4,1,2,6,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
21,2,1,0,4,2,0,5,2,1,5,4,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
22,2,1,0,4,2,1,5,4,2,5,5,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
23,2,1,0,4,2,1,6,3,2,6,2,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
24,2,1,0,4,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
25,2,1,0,4,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
26,2,1,0,4,4,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
27,2,1,0,4,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
28,2,1,0,4,4,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
29,2,1,0,4,4,2,6,1,1,4,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
30,2,1,0,4,4,2,6,1,1,4,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
31,2,1,0,4,4,2,6,1,2,4,-2,1,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
32,2,1,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
33,2,1,0,4,4,2,6,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
34,2,1,0,4,4,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
35,2,1,0,4,4,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
36,2,2,0,2,3,1,2,4,3,4,4,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
37,2,2,0,3,1,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
38,2,2,0,3,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
39,2,2,0,3,2,1,4,-1,1,4,1,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
40,2,2,0,3,4,1,4,3,3,4,0,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
41,2,2,0,3,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
42,2,2,0,3,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
43,2,2,0,3,5,1,4,5,2,5,8,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
44,2,2,0,3,5,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
45,2,2,0,3,5,2,5,2,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
46,2,2,0,3,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
47,2,2,0,3,5,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
48,2,2,0,4,1,1,5,2,2,5,4,1,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
49,2,2,0,4,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
50,2,2,0,4,1,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
51,2,2,0,4,1,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
52,2,2,0,4,1,2,6,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
53,2,2,0,4,4,0,4,5,1,5,4,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
