unique_path_id,a0,loc0,lfw0,is_observed_candidate,is_unobserved_candidate,in_nominal_path_support,path_probability,recomputed_path_probability,path_probability_abs_error,path_probability_rel_error,minimum_component_transition_probability
1,2,1,0,True,False,True,2.088326521875e-08,2.0883265218750038e-08,3.970466940254533e-23,1.901267305981278e-15,0.005
2,2,1,0,True,False,True,6.206390775e-09,6.206390775e-09,0.0,0.0,0.005
3,2,1,0,False,True,False,2.592e-15,2.5920000000000003e-15,3.944304526105059e-31,1.5217224251948531e-16,0.005
4,2,1,0,False,True,False,1.0368e-13,1.0368e-13,0.0,0.0,0.005
5,2,1,0,False,True,False,2.7e-14,2.700000000000001e-14,1.262177448353619e-29,4.674731290198589e-16,0.005
6,2,1,0,False,True,False,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,3.4238754566884196e-16,0.005
7,2,1,0,False,True,False,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,4.1086505480261035e-16,0.005
8,2,1,0,False,True,False,7.2e-16,7.200000000000003e-16,2.9582283945787943e-31,4.1086505480261035e-16,0.005
9,2,1,0,False,True,False,1.0368e-13,1.0368000000000003e-13,2.524354896707238e-29,2.4347558803117645e-16,0.005
10,2,1,0,False,True,False,2.88e-14,2.880000000000001e-14,6.310887241768095e-30,2.1912802922805884e-16,0.005
11,2,1,0,False,True,False,2.7e-14,2.700000000000001e-14,1.262177448353619e-29,4.674731290198589e-16,0.005
12,2,1,0,False,True,False,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,4.1086505480261035e-16,0.005
13,2,1,0,False,True,False,1.8e-15,1.8000000000000005e-15,3.944304526105059e-31,2.1912802922805884e-16,0.005
14,2,1,0,False,True,False,3.168e-15,3.1680000000000014e-15,1.5777218104420236e-30,4.980182482455883e-16,0.005
15,2,1,0,False,True,False,7.2e-16,7.200000000000003e-16,2.9582283945787943e-31,4.1086505480261035e-16,0.005
16,2,1,0,False,True,False,1.8e-15,1.8000000000000005e-15,3.944304526105059e-31,2.1912802922805884e-16,0.005
17,2,1,0,True,False,True,2.1756976744186e-10,2.1756976744186045e-10,4.3943970041879595e-25,2.019764536156086e-15,0.005
18,2,1,0,False,True,False,4.8384e-13,4.838400000000001e-13,1.0097419586828951e-28,2.0869336116957985e-16,0.005
19,2,1,0,False,True,False,4.43232e-11,4.432320000000001e-11,6.462348535570529e-27,1.4580058604907877e-16,0.005
20,2,1,0,False,True,False,2.736e-12,2.7360000000000005e-12,4.0389678347315804e-28,1.4762309337469226e-16,0.005
21,2,1,0,True,False,True,1.846553436e-07,1.8465534360000006e-07,5.293955920339377e-23,2.8669389236886274e-16,0.005
22,2,1,0,True,False,True,9.3665754e-07,9.366575400000001e-07,1.0587911840678754e-22,1.1303930613400874e-16,0.005
23,2,1,0,True,False,True,6.912675e-08,6.912675000000003e-08,2.6469779601696886e-23,3.82916593094524e-16,0.005
24,2,1,0,False,True,False,4.8384e-13,4.838400000000002e-13,2.0194839173657902e-28,4.173867223391597e-16,0.005
