initial_state_id,scenario_id,path_id,joint_stream_position,D_W1_total_kg,D_W2_total_kg,D_W3_total_kg,D_remerged_total_kg,D_nominal_total_kg,D_max_abs_error_kg,D_exact_match,A_W1_reachable_count,A_W2_reachable_count,A_W3_reachable_count,A_remerged_reachable_count,A_nominal_reachable_count,A_mismatch_count,A_exact_match,C_W1_reachable_mean_km,C_W2_reachable_mean_km,C_W3_reachable_mean_km,C_remerged_reachable_mean_km,C_nominal_reachable_mean_km,C_reachable_max_abs_error_km,C_inf_pattern_mismatch_count,C_exact_match,D_total_summary_abs_error,A_share_summary_abs_error,C_mean_summary_abs_error,A0_stage_share_abs_error,C_stage_mean_abs_error,W3_failed_count_abs_error,W3_closed_count_abs_error,saved_wind_max_abs_error_mps,persistent_line_damage_pass,persistent_road_damage_pass,final_DAC_exact_match
7,1,1,13818,0,0,0,0,0,0,1,132,132,132,132,132,0,1,19.0137618887991,19.0137618887991,19.0137618887991,19.0137618887991,19.0137618887991,0,0,1,0,0,3.90798504668055e-14,0,3.90798504668055e-14,0,0,0,1,1,1
7,7008,7008,12174,0,202.656629299294,202.656629299294,405.313258598587,405.313258598587,0,1,132,132,132,132,132,0,1,19.0137618887991,20.0768317833992,20.0768317833992,20.065044108018,20.065044108018,0,0,1,5.6843418860808e-14,0,4.61852778244065e-14,0,3.5527136788005e-14,0,0,4.2632564145606e-14,1,1,1
7,13663,13663,6717,0,0,4.90958186727764,4.90958186727764,4.90958186727764,0,1,132,132,132,132,132,0,1,19.0137618887991,19.0137618887991,19.0898389270804,19.0532153029639,19.0532153029639,0,0,1,3.5527136788005e-15,0,7.105427357601e-15,0,7.105427357601e-15,0,0,7.105427357601e-15,1,1,1
11,3251,3251,10507,0,177.563210866541,177.563210866541,355.126421733082,355.126421733082,0,1,132,132,132,132,132,0,1,19.0137618887991,21.2896857032618,21.2896857032618,21.1303275624567,21.1303275624567,0,0,1,3.97903932025656e-13,0,2.48689957516035e-14,0,3.19744231092045e-14,0,0,3.5527136788005e-14,1,1,1
11,8359,8359,4820,202.656629299294,202.656629299294,202.656629299294,607.969887897881,607.969887897881,0,1,132,132,132,132,132,0,1,19.7806171599837,19.8445510366331,21.9350075685326,20.5200585883831,20.5200585883831,0,0,1,4.54747350886464e-13,0,2.8421709430404e-14,0,2.48689957516035e-14,0,0,4.2632564145606e-14,1,1,1
11,14693,14693,1218,0,202.656629299294,202.656629299294,405.313258598587,405.313258598587,0,1,132,132,132,132,132,0,1,19.0137618887991,22.6532101650614,22.6532101650614,22.6163586002177,22.6163586002177,0,0,1,5.6843418860808e-14,0,4.9737991503207e-14,0,2.48689957516035e-14,0,0,4.9737991503207e-14,1,1,1
18,1303,1303,4670,202.656629299294,202.656629299294,202.656629299294,607.969887897881,607.969887897881,0,1,132,132,128,128,128,0,1,19.0377607197705,19.9577243896799,19.7973338513191,19.4112857136794,19.4112857136794,0,0,1,4.54747350886464e-13,2.22044604925031e-16,1.06581410364015e-14,4.5102810375397e-17,1.77635683940025e-14,0,0,2.8421709430404e-14,1,1,1
18,8139,8139,10681,192.291956468374,192.291956468374,192.291956468374,576.875869405122,576.875869405122,0,1,132,132,132,132,132,0,1,19.0137618887991,19.2705876477275,25.379225651911,21.2211917294792,21.2211917294792,0,0,1,2.27373675443232e-13,0,1.4210854715202e-14,0,7.105427357601e-15,0,0,2.8421709430404e-14,1,1,1
18,13105,13105,13346,187.382374601096,187.382374601096,187.382374601096,562.147123803289,562.147123803289,0,1,132,132,132,132,132,0,1,21.3777508758966,22.6091215344658,22.6091215344658,22.1986646482761,22.1986646482761,0,0,1,3.41060513164848e-13,0,3.90798504668055e-14,0,4.2632564145606e-14,0,0,3.5527136788005e-14,1,1,1
21,353,353,6789,0,131.74044677195,131.74044677195,263.4808935439,263.4808935439,0,1,132,97,33,33,33,0,1,19.0137618887991,25.4026437962526,12.9870679078156,12.817651501798,12.817651501798,0,0,1,1.13686837721616e-13,0,4.08562073062058e-14,3.33066907387547e-16,4.9737991503207e-14,0,0,4.9737991503207e-14,1,1,1
