mode,state_id,intensity,loc,joint_state_k,T1_kg,T2_kg,T3_kg,T4_kg,nonnegative,within_tank_capacity,mapping_formula_pass,pass
SAA,1,2,1,63,0,0,0,0,1,1,1,1
SAA,2,2,2,71,0,0,0,0,1,1,1,1
SAA,3,2,3,79,0,0,0,0,1,1,1,1
SAA,4,2,4,87,0,0,0,0,1,1,1,1
SAA,5,2,5,95,0,0,0,0,1,1,1,1
SAA,6,2,6,103,0,0,0,0,1,1,1,1
SAA,7,2,7,111,0,0,0,0,1,1,1,1
SAA,8,3,1,119,11.4556910236478,0,0,3.27305457818509,1,1,1,1
SAA,9,3,2,127,18.5473092763822,0,0,15.8197637945613,1,1,1,1
SAA,10,3,3,135,27.5482093663912,2.45479093363882,3.27305457818509,18.001800180018,1,1,1,1
SAA,11,3,4,143,19.0928183727464,6.54610915637018,6.54610915637018,16.3652728909255,1,1,1,1
SAA,12,3,5,151,3.27305457818509,0,0,0,1,1,1,1
SAA,13,3,6,159,0,0,0,0,1,1,1,1
SAA,14,3,7,167,0,0,0,0,1,1,1,1
SAA,15,4,1,175,149.469492403786,44.1862368054987,27.8209639145734,127.103619452854,1,1,1,1
SAA,16,4,2,183,158.743147041977,44.1862368054987,29.4574912036658,132.558710416496,1,1,1,1
SAA,17,4,3,191,172.653628999264,79.3715735209884,32.4577912336688,76.9167825873496,1,1,1,1
SAA,18,4,4,199,137.195537735592,129.831164934675,32.730545781851,65.1883370155198,1,1,1,1
SAA,19,4,5,207,126.012601260126,29.4574912036658,22.9113820472956,54.5509096364182,1,1,1,1
SAA,20,4,6,215,42.5497095164062,9.81916373455527,11.4556910236478,27.2754548182091,1,1,1,1
SAA,21,4,7,223,0,0,0,0,1,1,1,1
SAA,22,5,1,231,206.202438425661,94.9185827673676,36.003600360036,171.017101710171,1,1,1,1
SAA,23,5,2,239,225.840765894771,92.4637918337288,43.3679731609524,172.653628999264,1,1,1,1
SAA,24,5,3,247,221.203938575676,130.103919482857,48.8230641245943,142.377874151051,1,1,1,1
SAA,25,5,4,255,216.021602160216,140.195837765595,56.1874369255107,115.375173881024,1,1,1,1
SAA,26,5,5,263,200.201838365655,57.8239642146033,36.003600360036,101.464691923738,1,1,1,1
SAA,27,5,6,271,145.105419632872,29.4574912036658,24.5479093363882,65.4610915637018,1,1,1,1
SAA,28,5,7,279,36.003600360036,6.54610915637018,11.4556910236478,19.0928183727464,1,1,1,1
SAA,29,6,1,287,220.931184027494,104.737746501923,44.7317459018629,193.928483757467,1,1,1,1
SAA,30,6,2,295,237.296456918419,100.646428279192,49.0958186727763,189.837165534735,1,1,1,1
SAA,31,6,3,303,255.025502550255,120.557510296484,70.3706734309795,169.107819872896,1,1,1,1
SAA,32,6,4,311,251.479693423888,122.875923956032,69.6887870605242,151.242396966969,1,1,1,1
SAA,33,6,5,319,257.207538935712,86.4631917737228,44.1862368054987,144.83266508469,1,1,1,1
SAA,34,6,6,327,221.74944767204,56.4601914736928,34.3670730709434,103.646728309195,1,1,1,1
SAA,35,6,7,335,147.014701470147,29.4574912036658,24.5479093363882,63.8245642746093,1,1,1,1
DRO,1,2,1,63,0,0,0,0,1,1,1,1
DRO,2,2,2,71,0,0,0,0,1,1,1,1
DRO,3,2,3,79,0,0,0,0,1,1,1,1
DRO,4,2,4,87,0,0,0,0,1,1,1,1
DRO,5,2,5,95,0,0,0,0,1,1,1,1
DRO,6,2,6,103,0,0,0,0,1,1,1,1
DRO,7,2,7,111,0,0,0,0,1,1,1,1
DRO,8,3,1,119,63.8244876440175,13.0921787814839,11.4556774055,54.5509399680343,1,1,1,1
DRO,9,3,2,127,84.280792753239,19.6383954592012,21.0048007503351,55.64176756515,1,1,1,1
DRO,10,3,3,135,70.3548673537756,24.0183969051278,22.911379008947,39.1228723369355,1,1,1,1
DRO,11,3,4,143,70.8777395635124,47.7705448832743,22.9113388566383,39.27665496533,1,1,1,1
DRO,12,3,5,151,19.6383312996531,8.72797805505748,8.18263681091321,21.6467417312723,1,1,1,1
DRO,13,3,6,159,0,0,0,0,1,1,1,1
DRO,14,3,7,167,0,0,0,0,1,1,1,1
DRO,15,4,1,175,157.10648585078,49.9139415109437,31.9126119869502,135.831739057143,1,1,1,1
DRO,16,4,2,183,168.321498891286,60.2781032686581,34.3670729581793,132.558689603268,1,1,1,1
DRO,17,4,3,191,184.298449790671,82.4559747849442,34.3670602262326,85.6444457483828,1,1,1,1
DRO,18,4,4,199,168.562980440429,132.558988566905,40.9131822127084,81.8263755451408,1,1,1,1
DRO,19,4,5,207,169.268163717106,50.7550168597245,29.4574724763621,67.4600784407284,1,1,1,1
DRO,20,4,6,215,105.830063200111,19.638417665053,22.9113581486978,40.9754822499781,1,1,1,1
DRO,21,4,7,223,3.27305014181222,0,0,7.91030645810684,1,1,1,1
DRO,22,5,1,231,213.672508240404,99.8292358032061,42.5500362049223,172.652254292858,1,1,1,1
DRO,23,5,2,239,229.663686474833,96.2848412779686,44.1863287464272,172.92200652299,1,1,1,1
DRO,24,5,3,247,222.567734271221,130.103902280787,58.9149805350669,140.741346562064,1,1,1,1
DRO,25,5,4,255,220.386801718602,137.407832013308,70.1586416901174,118.978112198467,1,1,1,1
DRO,26,5,5,263,222.566581025339,72.5527245907924,44.1862627462878,116.193766195663,1,1,1,1
DRO,27,5,6,271,181.110531725664,39.2766550497077,30.3656051662566,81.8263641708483,1,1,1,1
DRO,28,5,7,279,98.0506663238561,13.0922661934806,18.0016621128455,32.7306403147412,1,1,1,1
DRO,29,6,1,287,223.653538861726,108.973506742866,49.0958186211534,191.483163741174,1,1,1,1
DRO,30,6,2,295,240.164440519353,104.049902901749,54.0050862862624,188.475046349441,1,1,1,1
DRO,31,6,3,303,255.553774624467,124.114138527017,78.1158038733361,174.184477924393,1,1,1,1
DRO,32,6,4,311,253.053580911002,126.620866568008,77.9448771616212,153.829658520328,1,1,1,1
DRO,33,6,5,319,261.117482779946,90.0835937911379,49.0963034325765,145.559929472714,1,1,1,1
DRO,34,6,6,327,244.660859991263,68.734986808013,34.3670731198083,120.285902355976,1,1,1,1
DRO,35,6,7,335,201.6983627617,37.6405887246534,31.0934028471642,76.4273318330866,1,1,1,1
