dataset_role,initial_state_id,a0,loc0,lfw0,R,I,N,D_rows,D_columns,A_sites,A_nodes,weight_sum,dimension_ok,domain_ok,unreachable_nonfinite_C_count,path_order_ok,row_alignment_ok,D_total_max_abs_error,A_share_max_abs_error,C_mean_max_abs_error,stagewise_wind_range_ok,unobserved_candidate_records,block_pass
nominal,1,2,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1822,1,1,4.83169060316868e-13,4.71844785465692e-16,4.9737991503207e-14,1,0,1
nominal,2,2,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1676,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,3,2,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1325,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
nominal,4,2,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1708,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,5,2,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1330,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,6,2,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,989,1,1,5.11590769747272e-13,4.44089209850063e-16,4.9737991503207e-14,1,0,1
nominal,7,2,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1002,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
nominal,8,3,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,18012,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,9,3,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,20978,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,10,3,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,20495,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,11,3,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,17605,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,12,3,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,17796,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,13,3,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,11891,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,14,3,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,9443,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
nominal,15,4,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,137605,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,16,4,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,150201,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,17,4,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,148640,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,18,4,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,143738,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
nominal,19,4,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,122113,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,20,4,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,94513,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,21,4,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,66297,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,22,5,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,483306,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,23,5,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,517086,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,24,5,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,503970,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
nominal,25,5,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,472836,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
nominal,26,5,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,404505,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,27,5,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,312322,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,28,5,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,226771,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
nominal,29,6,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,724457,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,30,6,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,768386,1,1,5.11590769747272e-13,5.55111512312578e-16,7.105427357601e-14,1,0,1
nominal,31,6,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,788052,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,32,6,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,711273,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
nominal,33,6,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,609677,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
nominal,34,6,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,474532,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
nominal,35,6,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,350615,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
