R,solver_objective,nominal_objective_reconstructed,absolute_error,lambda,worst_weight_min,worst_weight_sum,nominal_row_mass_max_abs_error,transport_cost,rho_zero_consistent
100,16999.5959275406,16999.5959275406,3.63797880709171e-12,3914528.21038614,-0,1,0,0,1
250,16804.1110595103,16804.1110595103,3.63797880709171e-12,3925920.55716063,-0,1,0,0,1
500,22795.659954523,22795.659954523,3.63797880709171e-12,3925920.55716063,-0,1,0,0,1
1000,18983.0744916202,18983.0744916202,1.09139364212751e-11,5627794.16530946,-0,1,0,0,1
