initial_state_id,K_exact,distance_elements,distance_bytes,distance_MiB,LP_variables_estimate,LP_constraints_estimate,LP_nonzeros_upper_estimate,K_vs_measured_R1000,distance_elements_vs_R1000,within_step03k_measured_support_scale,step03k_R1000_variables,step03k_R1000_constraints,step03k_R1000_measured_nonzeros
1,255,65025,520200,0.496101379394531,42590,74715,314160,0.255,0.065025,1,167005,1038000,3328536
2,264,69696,557568,0.53173828125,44093,79728,332376,0.264,0.069696,1,167005,1038000,3328536
3,219,47961,383688,0.365913391113281,36578,56283,246156,0.219,0.047961,1,167005,1038000,3328536
4,240,57600,460800,0.439453125,40085,66720,284880,0.24,0.0576,1,167005,1038000,3328536
5,187,34969,279752,0.266792297363281,31234,42075,192236,0.187,0.034969,1,167005,1038000,3328536
6,159,25281,202248,0.192878723144531,26558,31323,150096,0.159,0.025281,1,167005,1038000,3328536
7,116,13456,107648,0.1026611328125,19377,17864,94540,0.116,0.013456,1,167005,1038000,3328536
8,2405,5784025,46272200,44.1286087036133,401640,5875415,18475210,2.405,5.784025,0,167005,1038000,3328536
9,2500,6250000,50000000,47.6837158203125,417505,6345000,19917500,2.5,6.25,0,167005,1038000,3328536
10,2359,5564881,44519048,42.456672668457,393958,5654523,17796296,2.359,5.564881,0,167005,1038000,3328536
11,2176,4734976,37879808,36.125,363397,4817664,15221120,2.176,4.734976,0,167005,1038000,3328536
12,1875,3515625,28125000,26.8220901489258,313130,3586875,11422500,1.875,3.515625,0,167005,1038000,3328536
13,1400,1960000,15680000,14.95361328125,233805,2013200,6533800,1.4,1.96,0,167005,1038000,3328536
14,1032,1065024,8520192,8.12548828125,172349,1104240,3677016,1.032,1.065024,0,167005,1038000,3328536
15,9136,83466496,667731968,636.798828125,1525717,83813664,254666000,9.136,83.466496,0,167005,1038000,3328536
16,9254,85636516,685092128,653.354766845703,1545423,85988168,261231166,9.254,85.636516,0,167005,1038000,3328536
17,9103,82864609,662916872,632.20679473877,1520206,83210523,252844928,9.103,82.864609,0,167005,1038000,3328536
18,8433,71115489,568923912,542.56812286377,1408316,71435943,217284678,8.433,71.115489,0,167005,1038000,3328536
19,7334,53787556,430300448,410.366485595703,1224783,54066248,164787646,7.334,53.787556,0,167005,1038000,3328536
20,5940,35283600,282268800,269.192504882812,991985,35509320,108624780,5.94,35.2836,0,167005,1038000,3328536
21,4504,20286016,162288128,154.77001953125,752173,20457168,62961416,4.504,20.286016,0,167005,1038000,3328536
22,13407,179747649,1437981192,1371.36573028564,2238974,180257115,545504016,13.407,179.747649,0,167005,1038000,3328536
23,13582,184470724,1475765792,1407.39993286133,2268199,184986840,559754966,13.582,184.470724,0,167005,1038000,3328536
24,13363,178569769,1428558152,1362.37921905518,2231626,179077563,541949828,13.363,178.569769,0,167005,1038000,3328536
25,12986,168636196,1349089568,1286.5920715332,2168667,169129664,511973050,12.986,168.636196,0,167005,1038000,3328536
26,11918,142038724,1136309792,1083.66946411133,1990311,142491608,431681878,11.918,142.038724,0,167005,1038000,3328536
27,10470,109620900,876967200,836.341094970703,1748495,110018760,333752190,10.47,109.6209,0,167005,1038000,3328536
28,8656,74926336,599410688,571.642578125,1445557,75255264,228821360,8.656,74.926336,0,167005,1038000,3328536
29,14544,211527936,1692223488,1613.830078125,2428853,212080608,641375856,14.544,211.527936,0,167005,1038000,3328536
30,14609,213422881,1707383048,1628.28736114502,2439708,213978023,647091046,14.609,213.422881,0,167005,1038000,3328536
31,14566,212168356,1697346848,1618.7160949707,2432527,212721864,643307390,14.566,212.168356,0,167005,1038000,3328536
32,14257,203262049,1626096392,1550.76636505127,2380924,203803815,616444166,14.257,203.262049,0,167005,1038000,3328536
33,13640,186049600,1488396800,1419.44580078125,2277885,186567920,564518680,13.64,186.0496,0,167005,1038000,3328536
34,12557,157678249,1261425992,1202.98957061768,2097024,158155415,478898866,12.557,157.678249,0,167005,1038000,3328536
35,11066,122456356,979650848,934.267852783203,1848027,122876864,372536890,11.066,122.456356,0,167005,1038000,3328536
