initial_state_id,a0,loc0,lfw0,metric,original_value,aggregated_value,absolute_error,relative_error,machine_precision_tolerance,aggregation_method,preservation_pass
1,2,1,0,D_mean_kg,3.09807344370801,3.09807344370801,1.77635683940025e-15,5.73374670315812e-16,3.09807344370801e-13,class-weighted mean,1
1,2,1,0,D_q95_kg,0,0,0,0,1e-13,count-preserving linear order statistic,1
1,2,1,0,D_q99_kg,125.205247797507,125.205247797507,0,0,1.25205247797507e-11,count-preserving linear order statistic,1
1,2,1,0,D_upper_bound_hit_share,6.66666666666667e-05,6.66666666666667e-05,0,0,1e-13,class-weighted mean,1
1,2,1,0,A0_pair_share_W1_W2_W3,0.00044006734006734,0.00044006734006734,0,0,1e-13,class mean retained,1
1,2,1,0,A0_share_WDRO_aggregated_atom,0.00092020202020202,0.00092020202020202,1.0842021724855e-19,1.0842021724855e-19,1e-13,representative invariant,1
1,2,1,0,scenario_all_A0_WDRO_atom,0,0,0,0,1e-13,representative invariant,1
1,2,1,0,scenario_any_A0_WDRO_atom,0.0038,0.0038,1.30104260698261e-18,1.30104260698261e-18,1e-13,representative invariant,1
1,2,1,0,C_reachable_mean_WDRO_atom_km,19.0323021859102,19.0323021859113,1.10844666778576e-12,5.82402831227821e-14,1.90323021859102e-12,representative invariant,1
1,2,1,0,C_reachable_mean_W1_W2_W3_km,19.0249403463613,19.0249403463613,2.8421709430404e-14,1.49391845193564e-15,1.90249403463613e-12,class mean retained,1
1,2,1,0,W3_failed_line_count_mean,0.0862,0.0862,0,0,1e-13,class mean retained,1
1,2,1,0,W3_closed_road_count_mean,0.0292666666666667,0.0292666666666667,3.46944695195361e-18,3.46944695195361e-18,1e-13,class mean retained,1
1,2,1,0,weight_sum,0.999999999999968,0.999999999999999,3.14193115968919e-14,3.14193115968919e-14,1e-13,class weights,1
2,2,2,0,D_mean_kg,3.15366082062752,3.15366082062752,1.77635683940025e-15,5.63268195419566e-16,3.15366082062752e-13,class-weighted mean,1
2,2,2,0,D_q95_kg,0,0,0,0,1e-13,count-preserving linear order statistic,1
2,2,2,0,D_q99_kg,121.921283037395,121.921283037395,0,0,1.21921283037395e-11,count-preserving linear order statistic,1
2,2,2,0,D_upper_bound_hit_share,0,0,0,0,1e-13,class-weighted mean,1
2,2,2,0,A0_pair_share_W1_W2_W3,0.000423400673400673,0.000423400673400673,1.0842021724855e-19,1.0842021724855e-19,1e-13,class mean retained,1
2,2,2,0,A0_share_WDRO_aggregated_atom,0.000846464646464646,0.000846464646464646,0,0,1e-13,representative invariant,1
2,2,2,0,scenario_all_A0_WDRO_atom,0,0,0,0,1e-13,representative invariant,1
2,2,2,0,scenario_any_A0_WDRO_atom,0.00426666666666667,0.00426666666666667,8.67361737988404e-19,8.67361737988404e-19,1e-13,representative invariant,1
