initial_state_id,a0,loc0,lfw0,R,K_exact,compression_ratio,atoms_removed,max_class_size,singleton_atom_count,singleton_atom_share,duplicate_class_count,aggregate_weight_sum,all_member_key_match,within_group_pairs_checked,within_group_max_distance,cross_group_pairs_checked,cross_group_min_distance,distance_validation_pass,original_observed_candidate_records,aggregated_observed_candidate_records,unobserved_candidate_records,risk_tier,key_double_column_count,key_definition
1,2,1,0,15000,255,0.017,14745,14713,233,0.913725490196078,22,0.999999999999999,1,22,0,50,1.91758478381671e-05,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
2,2,2,0,15000,264,0.0176,14736,14700,240,0.909090909090909,24,0.999999999999999,1,24,0,50,0.000147586122967149,1,9,9,0,not_selected,297,D33+A132+Cmasked132 exact double key
3,2,3,0,15000,219,0.0146,14781,14740,195,0.89041095890411,24,0.999999999999999,1,24,0,50,1.62096829277687e-05,1,2,2,0,not_selected,297,D33+A132+Cmasked132 exact double key
4,2,4,0,15000,240,0.016,14760,14721,215,0.895833333333333,25,1,1,25,0,50,7.15504742273901e-05,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
5,2,5,0,15000,187,0.0124666666666667,14813,14780,166,0.887700534759358,21,1,1,21,0,50,3.32667191736734e-05,1,2,2,0,not_selected,297,D33+A132+Cmasked132 exact double key
6,2,6,0,15000,159,0.0106,14841,14829,146,0.918238993710692,13,1,1,13,0,50,2.92630463554818e-05,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
7,2,7,0,15000,116,0.00773333333333333,14884,14867,106,0.913793103448276,10,1,1,10,0,50,2.92791142380658e-06,1,7,7,0,low,297,D33+A132+Cmasked132 exact double key
8,3,1,0,15000,2405,0.160333333333333,12595,11305,2256,0.938045738045738,149,0.999999999999995,1,149,0,50,2.09693644262189e-06,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
9,3,2,0,15000,2500,0.166666666666667,12500,11131,2350,0.94,150,0.999999999999995,1,150,0,50,3.16651248011051e-05,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
10,3,3,0,15000,2359,0.157266666666667,12641,11331,2225,0.943196269605765,134,0.999999999999995,1,134,0,50,8.2510189295391e-05,1,7,7,0,not_selected,297,D33+A132+Cmasked132 exact double key
11,3,4,0,15000,2176,0.145066666666667,12824,11571,2035,0.935202205882353,141,0.999999999999996,1,141,0,50,3.28431775478869e-05,1,4,4,0,not_selected,297,D33+A132+Cmasked132 exact double key
12,3,5,0,15000,1875,0.125,13125,12140,1766,0.941866666666667,109,0.999999999999996,1,109,0,50,5.92092101808805e-07,1,11,11,0,not_selected,297,D33+A132+Cmasked132 exact double key
13,3,6,0,15000,1400,0.0933333333333333,13600,12792,1299,0.927857142857143,101,0.999999999999997,1,101,0,50,2.20800667799441e-06,1,4,4,0,not_selected,297,D33+A132+Cmasked132 exact double key
14,3,7,0,15000,1032,0.0688,13968,13452,955,0.925387596899225,77,0.999999999999998,1,77,0,50,9.14456805678678e-06,1,4,4,0,not_selected,297,D33+A132+Cmasked132 exact double key
