check_id,status,observed,expected
INPUT-01,PASS,6/6 SHA-256 match,"6/6"
A0-01,PASS,0.0792347603014264,"code-derived"
A0-02,PASS,0.120302554112552,"nominal frozen WDRO A0"
FIELD-01,PASS,distance/loss dependencies traced,"D A C only plus geometry/config"
WEIGHT-01,PASS,solver obj(alpha)=1/R,"non-equal weights unsupported"
GROUP-01,PASS,all 35 states exact-key mapped,"all pass"
GROUP-02,PASS,all current-distance checks pass,"all pass"
WEIGHT-02,PASS,max error 3.55e-14,"<=1e-12"
METRIC-01,PASS,max abs 4.38e-12; max relative 5.92e-14,"abs <= 1e-13*max(1,abs(value))"
CAND-01,PASS,268 observed records preserved,"268"
CAND-02,PASS,zero unobserved records,"zero"
MAP-01,PASS,525000 mapping rows,"525000"
LOCAL-01,PASS,105 local data files hashed,"105"
BOUND-01,PASS,no approximate reduction clustering or tail sampling,"none"
BOUND-02,PASS,no Gurobi formal WDRO or MSP execution,"none"
