dataset_role,metric_name,formula,numerator,denominator,result,code_location,recommended_name,interpretation,recomputed_pass,uses_stage_dimension,uses_wdro_aggregation,formal_metric_modified
nominal,stage_pair_A0_share,sum over records and W1-W3 of 1-A_tau divided by R*3*4*33,16445972,207900000,0.0791052044252044,"evaluate_formal_stagewise_b3_stability_block_h2.m:68-86,93-95",A0_pair_share_W1_W2_W3,Step-03I 0.079-family metric,1,1,0,0
nominal,stage_scenario_any_A0_share,count(A0_stage_pair_share>0)/R,150957,525000,0.287537142857143,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_any_unreachable_pair_W1_W2_W3,diagnostic,1,1,0,0
nominal,stage_scenario_all_A0_share,count(A0_stage_pair_share=1)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_all_pairs_unreachable_W1_W2_W3,diagnostic,1,1,0,0
nominal,wdro_atom_element_A0_share,sum over frozen WDRO atom elements of 1-A divided by R*4*33,8336967,69300000,0.120302554112554,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109; run_stage3k_wdro_integration_scaling_h2.m:101-106",A0_share_WDRO_aggregated_atom,Step-03K 0.120-family metric,1,0,1,0
nominal,wdro_atom_scenario_any_A0_share,count(A_reachable_share<1)/R,150957,525000,0.287537142857143,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_any_unreachable_pair_WDRO_atom,diagnostic,1,0,1,0
nominal,wdro_atom_scenario_all_A0_share,count(A_reachable_share=0)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_all_pairs_unreachable_WDRO_atom,diagnostic,1,0,1,0
validation-1,stage_pair_A0_share,sum over records and W1-W3 of 1-A_tau divided by R*3*4*33,16482002,207900000,0.0792785088985089,"evaluate_formal_stagewise_b3_stability_block_h2.m:68-86,93-95",A0_pair_share_W1_W2_W3,Step-03I 0.079-family metric,1,1,0,0
validation-1,stage_scenario_any_A0_share,count(A0_stage_pair_share>0)/R,151096,525000,0.287801904761905,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_any_unreachable_pair_W1_W2_W3,diagnostic,1,1,0,0
validation-1,stage_scenario_all_A0_share,count(A0_stage_pair_share=1)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_all_pairs_unreachable_W1_W2_W3,diagnostic,1,1,0,0
validation-1,wdro_atom_element_A0_share,sum over frozen WDRO atom elements of 1-A divided by R*4*33,8348535,69300000,0.12046948051948,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109; run_stage3k_wdro_integration_scaling_h2.m:101-106",A0_share_WDRO_aggregated_atom,Step-03K 0.120-family metric,1,0,1,0
validation-1,wdro_atom_scenario_any_A0_share,count(A_reachable_share<1)/R,151096,525000,0.287801904761905,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_any_unreachable_pair_WDRO_atom,diagnostic,1,0,1,0
validation-1,wdro_atom_scenario_all_A0_share,count(A_reachable_share=0)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_all_pairs_unreachable_WDRO_atom,diagnostic,1,0,1,0
validation-2,stage_pair_A0_share,sum over records and W1-W3 of 1-A_tau divided by R*3*4*33,16490746,207900000,0.0793205675805676,"evaluate_formal_stagewise_b3_stability_block_h2.m:68-86,93-95",A0_pair_share_W1_W2_W3,Step-03I 0.079-family metric,1,1,0,0
validation-2,stage_scenario_any_A0_share,count(A0_stage_pair_share>0)/R,151179,525000,0.28796,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_any_unreachable_pair_W1_W2_W3,diagnostic,1,1,0,0
validation-2,stage_scenario_all_A0_share,count(A0_stage_pair_share=1)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:61-80,111",scenario_all_pairs_unreachable_W1_W2_W3,diagnostic,1,1,0,0
validation-2,wdro_atom_element_A0_share,sum over frozen WDRO atom elements of 1-A divided by R*4*33,8354275,69300000,0.120552308802309,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109; run_stage3k_wdro_integration_scaling_h2.m:101-106",A0_share_WDRO_aggregated_atom,Step-03K 0.120-family metric,1,0,1,0
validation-2,wdro_atom_scenario_any_A0_share,count(A_reachable_share<1)/R,151179,525000,0.28796,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_any_unreachable_pair_WDRO_atom,diagnostic,1,0,1,0
validation-2,wdro_atom_scenario_all_A0_share,count(A_reachable_share=0)/R,0,525000,0,"evaluate_frozen_wdro_dataset_block_h2.m:81-97,109",scenario_all_pairs_unreachable_WDRO_atom,diagnostic,1,0,1,0
reported-cross-run,Step03I_reported_A0_pair_share,mean of 105 state-seed N=15000 W1-W3 A0_pair_share values,NaN,105,0.0792347603014264,"run_stage3i_formal_stagewise_random_b3_h2.m:216-234",A0_pair_share_W1_W2_W3,reported as approximately 0.079,1,1,0,0
reported-cross-run,Step03K_reported_A0_share,mean of 35 nominal WDRO aggregated-atom A0_share values,NaN,35,0.120302554112552,"run_stage3k_wdro_integration_scaling_h2.m:90-120",A0_share_WDRO_aggregated_atom,reported as approximately 0.120,1,0,1,0
