state,intensity,loc,mode,fc_cap_site1,fc_cap_site2,fc_cap_site3,fc_cap_site4,max_fc_violation_kg,fc_binding_frequency,fc_binding_any_share,fc_capacity_qa
1,2,1,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
1,2,1,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
2,2,2,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
2,2,2,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
3,2,3,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
3,2,3,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
4,2,4,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
4,2,4,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
5,2,5,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
5,2,5,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
6,2,6,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
6,2,6,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
7,2,7,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
7,2,7,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
8,3,1,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,3.552713678800501e-15,0.0029944444444444437,0.016799999999999995,PASS
8,3,1,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
9,3,2,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,1.7763568394002505e-14,0.006244444444444442,0.02533333333333333,PASS
9,3,2,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.00023333333333333333,0.0027999999999999995,PASS
10,3,3,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,3.552713678800501e-15,0.006588888888888888,0.029466666666666662,PASS
10,3,3,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,3.552713678800501e-15,0.0011722222222222223,0.012066666666666665,PASS
11,3,4,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.007783333333333332,0.030133333333333328,PASS
11,3,4,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,4.973799150320701e-14,0.0012666666666666666,0.012066666666666663,PASS
12,3,5,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.000872222222222222,0.007933333333333332,PASS
12,3,5,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
13,3,6,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
13,3,6,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
14,3,7,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
14,3,7,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,0.0,0.0,0.0,PASS
15,4,1,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,4.618527782440651e-14,0.04646666666666665,0.12806666666666666,PASS
15,4,1,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,1.5631940186722204e-13,0.04564444444444443,0.12793333333333334,PASS
16,4,2,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,7.815970093361102e-14,0.06371666666666666,0.16866666666666671,PASS
16,4,2,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,1.0658141036401503e-13,0.06120555555555555,0.168,PASS
17,4,3,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,4.973799150320701e-14,0.0691611111111111,0.1963333333333334,PASS
17,4,3,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,4.263256414560601e-14,0.06897222222222221,0.19626666666666673,PASS
18,4,4,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,1.4210854715202004e-14,0.06897777777777776,0.17913333333333337,PASS
18,4,4,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,9.592326932761353e-14,0.06758888888888888,0.17886666666666673,PASS
19,4,5,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,3.552713678800501e-15,0.03155555555555555,0.10206666666666667,PASS
19,4,5,SAA,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,1.0480505352461478e-13,0.029599999999999987,0.09846666666666666,PASS
20,4,6,DRO,16.365272890925453,8.182636445462727,6.546109156370182,8.182636445462727,3.552713678800501e-15,0.009077777777777775,0.042199999999999994,PASS
