site_id,road_node,electrical_bus,mapping_class
1,24,24,SYNTHETIC_BENCHMARK_COUPLING_ASSUMPTION
2,14,14,SYNTHETIC_BENCHMARK_COUPLING_ASSUMPTION
3,18,18,SYNTHETIC_BENCHMARK_COUPLING_ASSUMPTION
4,31,31,SYNTHETIC_BENCHMARK_COUPLING_ASSUMPTION
