check_name,passed
bus_count,1
branch_count,1
radial_edges,1
base_kv,1
base_mva,1
slack,1
mapping,1
mapping_separate,1
load48,1
pv48,1
tariff_unique_shape,1
tariff_frozen,1
pmax,1
k_h2,1
tank,1
htt,1
cd,1
smax,1
voltage,1
h02_saa_dro_pmax,1
h02_saa_dro_tank,1
h02_saa_dro_demand,1
h02_saa_dro_road,1
