tau,stage,hour_in_stage,bus,load_multiplier,p_base_kw,p_load_kw,q_load_kvar
43,6,3,29,0.864334,120,103.72008,60.50338
43,6,3,30,0.864334,200,172.8668,518.6004
43,6,3,31,0.864334,150,129.6501,60.50338
43,6,3,32,0.864334,210,181.51014,86.4334
43,6,3,33,0.864334,60,51.86004,34.57336
44,6,4,1,0.975774,0,0,0
44,6,4,2,0.975774,100,97.5774,58.54644
44,6,4,3,0.975774,90,87.81966,39.03096
44,6,4,4,0.975774,120,117.09288,78.06192
44,6,4,5,0.975774,60,58.54644,29.27322
44,6,4,6,0.975774,60,58.54644,19.51548
44,6,4,7,0.975774,200,195.1548,97.5774
44,6,4,8,0.975774,200,195.1548,97.5774
44,6,4,9,0.975774,60,58.54644,19.51548
44,6,4,10,0.975774,60,58.54644,19.51548
44,6,4,11,0.975774,45,43.90983,29.27322
44,6,4,12,0.975774,60,58.54644,34.15209
44,6,4,13,0.975774,60,58.54644,34.15209
44,6,4,14,0.975774,120,117.09288,78.06192
44,6,4,15,0.975774,60,58.54644,9.75774
44,6,4,16,0.975774,60,58.54644,19.51548
44,6,4,17,0.975774,60,58.54644,19.51548
44,6,4,18,0.975774,90,87.81966,39.03096
44,6,4,19,0.975774,90,87.81966,39.03096
44,6,4,20,0.975774,90,87.81966,39.03096
44,6,4,21,0.975774,90,87.81966,39.03096
44,6,4,22,0.975774,90,87.81966,39.03096
44,6,4,23,0.975774,90,87.81966,48.7887
44,6,4,24,0.975774,420,409.82508,195.1548
44,6,4,25,0.975774,420,409.82508,195.1548
44,6,4,26,0.975774,60,58.54644,24.39435
44,6,4,27,0.975774,60,58.54644,24.39435
44,6,4,28,0.975774,60,58.54644,19.51548
44,6,4,29,0.975774,120,117.09288,68.30418
44,6,4,30,0.975774,200,195.1548,585.4644
44,6,4,31,0.975774,150,146.3661,68.30418
44,6,4,32,0.975774,210,204.91254,97.5774
44,6,4,33,0.975774,60,58.54644,39.03096
45,6,5,1,1,0,0,0
45,6,5,2,1,100,100,60
45,6,5,3,1,90,90,40
45,6,5,4,1,120,120,80
45,6,5,5,1,60,60,30
45,6,5,6,1,60,60,20
45,6,5,7,1,200,200,100
45,6,5,8,1,200,200,100
45,6,5,9,1,60,60,20
45,6,5,10,1,60,60,20
45,6,5,11,1,45,45,30
45,6,5,12,1,60,60,35
45,6,5,13,1,60,60,35
45,6,5,14,1,120,120,80
45,6,5,15,1,60,60,10
45,6,5,16,1,60,60,20
45,6,5,17,1,60,60,20
45,6,5,18,1,90,90,40
45,6,5,19,1,90,90,40
45,6,5,20,1,90,90,40
45,6,5,21,1,90,90,40
45,6,5,22,1,90,90,40
45,6,5,23,1,90,90,50
45,6,5,24,1,420,420,200
45,6,5,25,1,420,420,200
45,6,5,26,1,60,60,25
45,6,5,27,1,60,60,25
45,6,5,28,1,60,60,20
45,6,5,29,1,120,120,70
45,6,5,30,1,200,200,600
45,6,5,31,1,150,150,70
45,6,5,32,1,210,210,100
45,6,5,33,1,60,60,40
46,6,6,1,0.975774,0,0,0
46,6,6,2,0.975774,100,97.5774,58.54644
46,6,6,3,0.975774,90,87.81966,39.03096
46,6,6,4,0.975774,120,117.09288,78.06192
46,6,6,5,0.975774,60,58.54644,29.27322
46,6,6,6,0.975774,60,58.54644,19.51548
46,6,6,7,0.975774,200,195.1548,97.5774
46,6,6,8,0.975774,200,195.1548,97.5774
46,6,6,9,0.975774,60,58.54644,19.51548
46,6,6,10,0.975774,60,58.54644,19.51548
46,6,6,11,0.975774,45,43.90983,29.27322
46,6,6,12,0.975774,60,58.54644,34.15209
46,6,6,13,0.975774,60,58.54644,34.15209
46,6,6,14,0.975774,120,117.09288,78.06192
46,6,6,15,0.975774,60,58.54644,9.75774
46,6,6,16,0.975774,60,58.54644,19.51548
46,6,6,17,0.975774,60,58.54644,19.51548
46,6,6,18,0.975774,90,87.81966,39.03096
46,6,6,19,0.975774,90,87.81966,39.03096
46,6,6,20,0.975774,90,87.81966,39.03096
46,6,6,21,0.975774,90,87.81966,39.03096
46,6,6,22,0.975774,90,87.81966,39.03096
46,6,6,23,0.975774,90,87.81966,48.7887
46,6,6,24,0.975774,420,409.82508,195.1548
46,6,6,25,0.975774,420,409.82508,195.1548
46,6,6,26,0.975774,60,58.54644,24.39435
46,6,6,27,0.975774,60,58.54644,24.39435
46,6,6,28,0.975774,60,58.54644,19.51548
46,6,6,29,0.975774,120,117.09288,68.30418
46,6,6,30,0.975774,200,195.1548,585.4644
46,6,6,31,0.975774,150,146.3661,68.30418
46,6,6,32,0.975774,210,204.91254,97.5774
46,6,6,33,0.975774,60,58.54644,39.03096
47,6,7,1,0.96393,0,0,0
47,6,7,2,0.96393,100,96.393,57.8358
47,6,7,3,0.96393,90,86.7537,38.5572
47,6,7,4,0.96393,120,115.6716,77.1144
47,6,7,5,0.96393,60,57.8358,28.9179
47,6,7,6,0.96393,60,57.8358,19.2786
47,6,7,7,0.96393,200,192.786,96.393
47,6,7,8,0.96393,200,192.786,96.393
47,6,7,9,0.96393,60,57.8358,19.2786
47,6,7,10,0.96393,60,57.8358,19.2786
47,6,7,11,0.96393,45,43.37685,28.9179
47,6,7,12,0.96393,60,57.8358,33.73755
47,6,7,13,0.96393,60,57.8358,33.73755
47,6,7,14,0.96393,120,115.6716,77.1144
47,6,7,15,0.96393,60,57.8358,9.6393
47,6,7,16,0.96393,60,57.8358,19.2786
47,6,7,17,0.96393,60,57.8358,19.2786
47,6,7,18,0.96393,90,86.7537,38.5572
47,6,7,19,0.96393,90,86.7537,38.5572
47,6,7,20,0.96393,90,86.7537,38.5572
47,6,7,21,0.96393,90,86.7537,38.5572
47,6,7,22,0.96393,90,86.7537,38.5572
47,6,7,23,0.96393,90,86.7537,48.1965
47,6,7,24,0.96393,420,404.8506,192.786
47,6,7,25,0.96393,420,404.8506,192.786
47,6,7,26,0.96393,60,57.8358,24.09825
47,6,7,27,0.96393,60,57.8358,24.09825
47,6,7,28,0.96393,60,57.8358,19.2786
47,6,7,29,0.96393,120,115.6716,67.4751
47,6,7,30,0.96393,200,192.786,578.358
47,6,7,31,0.96393,150,144.5895,67.4751
47,6,7,32,0.96393,210,202.4253,96.393
47,6,7,33,0.96393,60,57.8358,38.5572
48,6,8,1,0.88856,0,0,0
48,6,8,2,0.88856,100,88.856,53.3136
48,6,8,3,0.88856,90,79.9704,35.5424
48,6,8,4,0.88856,120,106.6272,71.0848
48,6,8,5,0.88856,60,53.3136,26.6568
48,6,8,6,0.88856,60,53.3136,17.7712
48,6,8,7,0.88856,200,177.712,88.856
48,6,8,8,0.88856,200,177.712,88.856
48,6,8,9,0.88856,60,53.3136,17.7712
48,6,8,10,0.88856,60,53.3136,17.7712
48,6,8,11,0.88856,45,39.9852,26.6568
48,6,8,12,0.88856,60,53.3136,31.0996
48,6,8,13,0.88856,60,53.3136,31.0996
48,6,8,14,0.88856,120,106.6272,71.0848
48,6,8,15,0.88856,60,53.3136,8.8856
48,6,8,16,0.88856,60,53.3136,17.7712
48,6,8,17,0.88856,60,53.3136,17.7712
48,6,8,18,0.88856,90,79.9704,35.5424
48,6,8,19,0.88856,90,79.9704,35.5424
48,6,8,20,0.88856,90,79.9704,35.5424
48,6,8,21,0.88856,90,79.9704,35.5424
48,6,8,22,0.88856,90,79.9704,35.5424
48,6,8,23,0.88856,90,79.9704,44.428
48,6,8,24,0.88856,420,373.1952,177.712
48,6,8,25,0.88856,420,373.1952,177.712
48,6,8,26,0.88856,60,53.3136,22.214
48,6,8,27,0.88856,60,53.3136,22.214
48,6,8,28,0.88856,60,53.3136,17.7712
48,6,8,29,0.88856,120,106.6272,62.1992
48,6,8,30,0.88856,200,177.712,533.136
48,6,8,31,0.88856,150,133.284,62.1992
48,6,8,32,0.88856,210,186.5976,88.856
48,6,8,33,0.88856,60,53.3136,35.5424
