N,error_observation_count,p95_max_abs_error,worst_max_abs_error,mean_joint_tv,worst_joint_tv,mean_seed_pairwise_tv,max_seed_pairwise_tv,criterion_p95_pass,criterion_worst_pass,criterion_mean_joint_tv_pass,meets_all_criteria,recommended
15000,2100,0.0074,0.0154716666666666,0.029618947326489,0.0516595555627097,0.0166630634920635,0.0731333333333333,1,1,1,1,1
20000,2100,0.00643333333333296,0.014045,0.0256099632021095,0.0427236577027409,0.0144238214285714,0.06255,1,1,1,1,0
30000,2100,0.00549612577777797,0.0121283333333334,0.0208151363803439,0.033196062075935,0.0117745873015873,0.0499666666666667,1,1,1,1,0
