N,matrix,from_state,to_state,config_probability,transition_count,from_count,sample_probability,abs_error
15000,intensity,1,1,1,263841,263841,1,0
15000,intensity,1,2,0,0,263841,0,0
15000,intensity,1,3,0,0,263841,0,0
15000,intensity,1,4,0,0,263841,0,0
15000,intensity,1,5,0,0,263841,0,0
15000,intensity,1,6,0,0,263841,0,0
15000,intensity,2,1,0.142,250873,1770046,0.141732474749244,0.000267525250756184
15000,intensity,2,2,0.841,1488899,1770046,0.841164014946504,0.000164014946504198
15000,intensity,2,3,0.012,21258,1770046,0.0120098573709384,9.85737093838271e-06
15000,intensity,2,4,0.005,9016,1770046,0.0050936529333136,9.3652933313597e-05
15000,intensity,2,5,0,0,1770046,0,0
15000,intensity,2,6,0,0,1770046,0,0
15000,intensity,3,1,0.02,27839,1391430,0.020007474324975,7.47432497502643e-06
15000,intensity,3,2,0.283333333333333,394100,1391430,0.283233795447849,9.95378854843909e-05
15000,intensity,3,3,0.641666666666667,892922,1391430,0.641729731283643,6.30646169763605e-05
15000,intensity,3,4,0.05,69492,1391430,0.0499428645350467,5.71354649533257e-05
15000,intensity,3,5,0.005,7077,1391430,0.00508613440848623,8.61344084862334e-05
15000,intensity,3,6,0,0,1391430,0,0
15000,intensity,4,1,0,0,1609344,0,0
15000,intensity,4,2,0.02,32505,1609344,0.0201976706036745,0.000197670603674541
15000,intensity,4,3,0.189333333333333,304780,1609344,0.189381511970095,4.81786367616532e-05
15000,intensity,4,4,0.729666666666667,1174354,1609344,0.729709745088682,4.30784220151192e-05
15000,intensity,4,5,0.056,89660,1609344,0.0557121410959994,0.00028785890400064
15000,intensity,4,6,0.005,8045,1609344,0.00499893124154935,1.06875845064854e-06
15000,intensity,5,1,0,0,2024088,0,0
15000,intensity,5,2,0,0,2024088,0,0
15000,intensity,5,3,0.02,40686,2024088,0.0201009047037481,0.000100904703748059
15000,intensity,5,4,0.196,395457,2024088,0.19537539869808,0.000624601301919686
15000,intensity,5,5,0.778,1575731,2024088,0.778489373979787,0.000489373979787433
15000,intensity,5,6,0.006,12214,2024088,0.00603432261838418,3.43226183841805e-05
15000,intensity,6,1,0,0,816251,0,0
15000,intensity,6,2,0,0,816251,0,0
15000,intensity,6,3,0,0,816251,0,0
15000,intensity,6,4,0.02,16107,816251,0.0197329007866453,0.000267099213354716
15000,intensity,6,5,0.6,489495,816251,0.599686861026816,0.000313138973183524
15000,intensity,6,6,0.38,310649,816251,0.380580238186538,0.000580238186538184
20000,intensity,1,1,1,352261,352261,1,0
20000,intensity,1,2,0,0,352261,0,0
20000,intensity,1,3,0,0,352261,0,0
20000,intensity,1,4,0,0,352261,0,0
20000,intensity,1,5,0,0,352261,0,0
20000,intensity,1,6,0,0,352261,0,0
20000,intensity,2,1,0.142,334498,2358995,0.141796824495177,0.000203175504823017
20000,intensity,2,2,0.841,1984201,2358995,0.841121324971015,0.000121324971015246
20000,intensity,2,3,0.012,28257,2358995,0.0119784060585122,2.15939414877943e-05
20000,intensity,2,4,0.005,12039,2358995,0.00510344447529562,0.000103444475295623
20000,intensity,2,5,0,0,2358995,0,0
20000,intensity,2,6,0,0,2358995,0,0
20000,intensity,3,1,0.02,37186,1855350,0.0200425795671976,4.25795671975641e-05
20000,intensity,3,2,0.283333333333333,525075,1855350,0.283005901851403,0.000327431481930318
20000,intensity,3,3,0.641666666666667,1190890,1855350,0.64186811113806,0.000201444471393142
20000,intensity,3,4,0.05,92789,1855350,0.0500115881100601,1.15881100600929e-05
20000,intensity,3,5,0.005,9410,1855350,0.00507181933327944,7.18193332794352e-05
20000,intensity,3,6,0,0,1855350,0,0
20000,intensity,4,1,0,0,2147499,0,0
20000,intensity,4,2,0.02,43254,2147499,0.0201415693325119,0.000141569332511911
20000,intensity,4,3,0.189333333333333,406985,2147499,0.189515804198279,0.000182470864946022
20000,intensity,4,4,0.729666666666667,1566982,2147499,0.72967763896514,1.09722984733551e-05
20000,intensity,4,5,0.056,119537,2147499,0.0556633553729245,0.0003366446270755
20000,intensity,4,6,0.005,10741,2147499,0.00500163213114418,1.63213114418199e-06
20000,intensity,5,1,0,0,2697780,0,0
20000,intensity,5,2,0,0,2697780,0,0
20000,intensity,5,3,0.02,53965,2697780,0.0200034843463885,3.48434638851314e-06
20000,intensity,5,4,0.196,527711,2697780,0.195609352875327,0.000390647124672877
20000,intensity,5,5,0.778,2099834,2697780,0.778356278124977,0.00035627812497685
20000,intensity,5,6,0.006,16270,2697780,0.00603088465330753,3.08846533075341e-05
20000,intensity,6,1,0,0,1088115,0,0
20000,intensity,6,2,0,0,1088115,0,0
20000,intensity,6,3,0,0,1088115,0,0
20000,intensity,6,4,0.02,21555,1088115,0.0198094870487035,0.000190512951296507
20000,intensity,6,5,0.6,652641,1088115,0.599790463324189,0.000209536675810917
20000,intensity,6,6,0.38,413919,1088115,0.380400049627107,0.000400049627107435
30000,intensity,1,1,1,528801,528801,1,0
30000,intensity,1,2,0,0,528801,0,0
30000,intensity,1,3,0,0,528801,0,0
30000,intensity,1,4,0,0,528801,0,0
30000,intensity,1,5,0,0,528801,0,0
30000,intensity,1,6,0,0,528801,0,0
30000,intensity,2,1,0.142,502165,3537809,0.141942371676933,5.76283230666053e-05
30000,intensity,2,2,0.841,2975186,3537809,0.840968520346915,3.14796530846984e-05
30000,intensity,2,3,0.012,42367,3537809,0.0119754910454465,2.45089545535104e-05
30000,intensity,2,4,0.005,18091,3537809,0.00511361693070485,0.000113616930704851
30000,intensity,2,5,0,0,3537809,0,0
30000,intensity,2,6,0,0,3537809,0,0
30000,intensity,3,1,0.02,55761,2782379,0.0200407636774142,4.0763677414183e-05
30000,intensity,3,2,0.283333333333333,787560,2782379,0.283052740119157,0.00028059321417595
30000,intensity,3,3,0.641666666666667,1785535,2782379,0.641729613399181,6.29467325140576e-05
30000,intensity,3,4,0.05,139557,2782379,0.0501574372147001,0.00015743721470008
30000,intensity,3,5,0.005,13966,2782379,0.00501944558954765,1.94455895476493e-05
30000,intensity,3,6,0,0,2782379,0,0
30000,intensity,4,1,0,0,3221789,0,0
30000,intensity,4,2,0.02,64892,3221789,0.0201416045557298,0.00014160455572975
30000,intensity,4,3,0.189333333333333,610445,3221789,0.189473922718092,0.00014058938475936
30000,intensity,4,4,0.729666666666667,2350509,3221789,0.729566399289339,0.000100267377328045
30000,intensity,4,5,0.056,179982,3221789,0.0558639935762398,0.000136006423760215
30000,intensity,4,6,0.005,15961,3221789,0.00495407986059919,4.59201394008108e-05
30000,intensity,5,1,0,0,4047314,0,0
30000,intensity,5,2,0,0,4047314,0,0
30000,intensity,5,3,0.02,80915,4047314,0.0199922714175377,7.72858246234423e-06
30000,intensity,5,4,0.196,792255,4047314,0.195748340751422,0.000251659248578201
30000,intensity,5,5,0.778,3149869,4047314,0.778261582867057,0.00026158286705702
30000,intensity,5,6,0.006,24275,4047314,0.00599780496398352,2.19503601647884e-06
30000,intensity,6,1,0,0,1631908,0,0
30000,intensity,6,2,0,0,1631908,0,0
30000,intensity,6,3,0,0,1631908,0,0
30000,intensity,6,4,0.02,32302,1631908,0.0197940079955488,0.000205992004451233
30000,intensity,6,5,0.6,978851,1631908,0.599819965341183,0.000180034658816552
