scope,component,path_count,scope_total,share_within_scope
terminal_hit_delta_i_le_1,prep_2_3,929,1642,0.5657734470158343
terminal_hit_delta_i_le_1,prep_4_6,713,1642,0.4342265529841656
terminal_hit_delta_i_20_50,prep_2,0,3031,0.0
terminal_hit_delta_i_20_50,prep_3,180,3031,0.059386341141537444
terminal_hit_delta_i_20_50,prep_4,1245,3031,0.4107555262289673
terminal_hit_delta_i_20_50,prep_5,1324,3031,0.4368195315077532
terminal_hit_delta_i_20_50,prep_6,282,3031,0.093038601121742
terminal_hit_delta_i_20_50,prep_4_6,2851,3031,0.9406136588584626
terminal_hit_delta_i_gt_10,prep_2,0,4055,0.0
terminal_hit_delta_i_gt_10,prep_3,239,4055,0.058939580764488284
terminal_hit_delta_i_gt_10,prep_4,1934,4055,0.47694204685573366
terminal_hit_delta_i_gt_10,prep_5,1528,4055,0.37681874229346485
terminal_hit_delta_i_gt_10,prep_6,354,4055,0.0872996300863132
terminal_hit_delta_i_gt_10,prep_4_6,3816,4055,0.9410604192355118
terminal_hit_delta_i_gt_20,prep_2,0,3199,0.0
terminal_hit_delta_i_gt_20,prep_3,180,3199,0.05626758361988121
terminal_hit_delta_i_gt_20,prep_4,1264,3199,0.39512347608627696
terminal_hit_delta_i_gt_20,prep_5,1433,3199,0.4479524851516099
terminal_hit_delta_i_gt_20,prep_6,322,3199,0.10065645514223195
terminal_hit_delta_i_gt_20,prep_4_6,3019,3199,0.9437324163801187
