preparation_stage_count,<=1,1-10,10-20,20-30,30-50,50-100,>100
2,4.811205846528624,0.0,0.0,0.0,0.0,0.0,0.0
3,51.76613885505481,15.44943820224719,6.892523364485981,10.0,3.455608718766613,0.0,0.0
4,26.73568818514007,51.68539325842697,78.27102803738318,75.04347826086956,20.3083466241361,11.30952380952381,0.0
5,15.712545676004872,19.382022471910112,11.098130841121495,12.521739130434783,62.732589048378514,64.88095238095238,0.0
6,0.9744214372716199,13.48314606741573,3.7383177570093453,2.4347826086956523,13.503455608718767,23.809523809523807,0.0
column_total_percent,100.0,100.0,99.99999999999999,100.0,99.99999999999999,100.0,0.0
