scope,site,path_count,mean_surplus_kg,median_surplus_kg,q95_surplus_kg,q99_surplus_kg,positive_surplus_probability,surplus_gt20kg_probability,surplus_gt50kg_probability
全部达标路径,1,5651,72.4545500395,70.1053559616,151.197269656,183.877704425,0.99982304017,0.990798088834,0.813130419395
全部达标路径,2,5651,37.066844292,32.8621752057,77.4338165253,124.566959887,0.99964608034,0.885153070253,0.132542912759
全部达标路径,3,5651,20.9479564895,21.1322977091,31.0576415006,43.4302014452,0.99929216068,0.670146876659,0.00318527694213
全部达标路径,4,5651,38.8622222685,39.1225665914,74.4488495396,102.855234512,0.99982304017,0.96956290922,0.115200849407
正目标达标路径,1,650,92.3410730621,86.1538544997,206.729358727,238.947034584,0.998461538462,0.92,0.747692307692
正目标达标路径,2,650,56.5690843726,47.7705448833,123.75836396,145.812730501,0.996923076923,0.870769230769,0.46
正目标达标路径,3,650,16.9401995812,14.6119464244,40.7824628589,51.4215329581,0.993846153846,0.346153846154,0.0153846153846
正目标达标路径,4,650,45.5556393181,41.9372163173,99.9032991975,123.005526627,0.998461538462,0.735384615385,0.390769230769
