scope,surplus_bin,count,denominator_adequate_paths,fraction_of_scope_adequate_paths,fraction_of_all_positive_target_stage7,mean_production_kg,mean_HTT_kg,mean_actual_operating_cost_yuan,mean_ordinary_shortage_kg
全部达标路径,0-5 kg,1,5651,0.000176959830119,0.000890471950134,176.752135126,1.70898598414,58232.4530548,0
全部达标路径,5-20 kg,7,5651,0.00123871881083,0.00623330365093,220.522758376,8.42720243709,62819.7721171,5.75415621715
全部达标路径,20-50 kg,24,5651,0.00424703592285,0.0213713268032,285.748426055,29.4962818377,71082.1551006,7.0424375012
全部达标路径,50-100 kg,294,5651,0.0520261900549,0.261798753339,218.342468904,8.66785897839,79664.9324761,4.28885893398
全部达标路径,>100 kg,5325,5651,0.942311095381,4.74176313446,216.727380306,8.88397209778,66270.0505903,1.72632319432
正目标达标路径,0-5 kg,1,650,0.00153846153846,0.000890471950134,176.752135126,1.70898598414,58232.4530548,0
正目标达标路径,5-20 kg,7,650,0.0107692307692,0.00623330365093,220.522758376,8.42720243709,62819.7721171,5.75415621715
正目标达标路径,20-50 kg,24,650,0.0369230769231,0.0213713268032,285.748426055,29.4962818377,71082.1551006,7.0424375012
正目标达标路径,50-100 kg,98,650,0.150769230769,0.0872662511131,292.307030102,25.9336000007,75366.1469996,12.8665768019
正目标达标路径,>100 kg,520,650,0.8,0.463045414069,416.617763686,48.3747451046,82675.3805454,14.3814374192
