experiment,path_count,terminal_hit_path_count,mean_delta_production_kg,mean_delta_htt_kg,mean_delta_i_kg,terminal_hit_delta_i_le_1_share,terminal_hit_delta_i_gt_10_share,terminal_hit_delta_i_gt_20_share,terminal_hit_delta_i_20_50_share,saa_terminal_gap_mean_kg,dro_terminal_gap_mean_kg,saa_gap_positive_share,dro_gap_positive_share,mean_delta_ordinary_shortage_kg,mean_delta_operating_cost,mean_delta_reported_objective,mean_delta_production_cost,mean_delta_transport_cost,mean_delta_holding_cost,mean_delta_ordinary_shortage_cost
Baseline_6h,10000,6053,15.270633317884725,8.763033783438605,15.514788165600883,0.2712704444077317,0.6699157442590451,0.5284982653229804,0.5007434330084256,5.91202906816748,7.872231370844609,0.11795803733685775,0.14868660168511483,0.24415484771620968,809.1556433069687,3182.176550927905,,,,
E1_8h,10000,6053,26.22098422366692,8.657885327349723,26.82237516901269,0.019329258219064928,0.9451511647117132,0.8488352882867999,0.7700313893936891,2.154842910389854,2.3493228182214803,0.08012555757475633,0.08987279035189162,0.6013909453456413,1303.3237879043534,1538.7611643253229,948.9045234613238,230.97273386912494,3.1683415047705035,120.27818906912873
E2_6h_pmax_4over3,10000,6053,26.50410421745639,5.867925643679836,27.440625831417552,0.03171980835949116,0.8945977201387741,0.7683793160416322,0.6033371881711548,2.1256650019060754,2.333503872398487,0.07583016685940856,0.08524698496613249,0.9365216139612743,1301.4136666515462,1553.023403269658,983.2555212952957,128.2257026846787,2.628119879311288,187.3043227922548
E3_8h_htt_4over3,10000,6053,26.389260270909663,8.279691317950851,26.94725465475415,0.022468197587972905,0.9456467867173303,0.8476788369403602,0.7725094994217744,2.153348359520585,2.339013260668063,0.07830827688749381,0.09218569304477119,0.5579943838445769,1311.99154940837,1536.7574787375029,965.1560114631036,232.00834046492344,3.228320711422224,111.5988767689157
