experiment,saa_ordinary_shortage_mean_kg,dro_ordinary_shortage_mean_kg,delta_ordinary_shortage_mean_kg,saa_operating_cost_mean,dro_operating_cost_mean,delta_operating_cost_mean,delta_production_cost_mean,delta_transport_cost_mean,delta_holding_cost_mean,delta_ordinary_shortage_cost_mean
Baseline_6h,12.252059739547533,12.49621458726373,0.24415484771620968,12261.041750216373,13070.197393523234,809.1556433069687,,,,
E1_8h,7.065802240457056,7.667193185802705,0.6013909453456413,11365.68922477089,12669.01301267495,1303.3237879043534,948.9045234613238,230.97273386912494,3.1683415047705035,120.27818906912873
E2_6h_pmax_4over3,6.4064074151481805,7.342929029109447,0.9365216139612743,11246.097047081159,12547.510713732541,1301.4136666515462,983.2555212952957,128.2257026846787,2.628119879311288,187.3043227922548
E3_8h_htt_4over3,7.095841778679224,7.653836162523792,0.5579943838445769,11362.838085566993,12674.82963497535,1311.99154940837,965.1560114631036,232.00834046492344,3.228320711422224,111.5988767689157
