scheme,policy,mean_production_kg,change_vs_baseline_production_kg,mean_htt_kg,change_vs_baseline_htt_kg,mean_final_inventory_kg,change_vs_baseline_inventory_kg,mean_ordinary_shortage_kg,change_vs_baseline_shortage_kg,mean_operating_cost,change_vs_baseline_operating_cost,terminal_hit_mean_gap_kg,change_vs_baseline_gap_kg
Baseline_6h,SAA,293.403092198799,0.000000000000,32.006192079955,0.000000000000,348.443097320495,0.000000000000,12.252059739548,0.000000000000,12261.041750216373,0.000000000000,5.912029068167,0.000000000000
Baseline_6h,DRO,308.673725516681,0.000000000000,40.769225863394,0.000000000000,363.957885486100,0.000000000000,12.496214587264,0.000000000000,13070.197393523234,0.000000000000,7.872231370845,0.000000000000
E1_8h,SAA,328.095290750284,34.692198551484,13.367292455711,-18.638899624245,377.949038372881,29.505941052385,7.065802240457,-5.186257499090,11365.689224770889,-895.352525445483,2.154842910390,-3.757186157778
E1_8h,DRO,354.316274973952,45.642549457272,22.025177783060,-18.744048080333,404.771413541891,40.813528055791,7.667193185803,-4.829021401461,12669.013012674950,-401.184380848284,2.349322818221,-5.522908552623
E2_6h_pmax_4over3,SAA,328.340110972556,34.937018773757,16.517680154493,-15.488511925462,377.534463769847,29.091366449352,6.406407415148,-5.845652324399,11246.097047081159,-1014.944703135214,2.125665001906,-3.786364066261
E2_6h_pmax_4over3,DRO,354.844215190016,46.170489673335,22.385605798173,-18.383620065220,404.975089601261,41.017204115161,7.342929029109,-5.153285558154,12547.510713732541,-522.686679790693,2.333503872398,-5.538727498446
E3_8h_htt_4over3,SAA,328.013374792757,34.610282593958,13.908803819056,-18.097388260899,377.897161953576,29.454064633081,7.095841778679,-5.156217960868,11362.838085566993,-898.203664649380,2.153348359521,-3.758680708647
E3_8h_htt_4over3,DRO,354.402635063675,45.728909546994,22.188495137007,-18.580730726386,404.844416608335,40.886531122235,7.653836162524,-4.842378424740,12674.829634975349,-395.367758547885,2.339013260668,-5.533218110177
