experiment,method,path_count,mean_gap_kg,median_gap_kg,q95_gap_kg,gap_positive_count,gap_positive_share
Baseline_6h,SAA,6053,5.91202906816748,0.0,50.54884313061016,714,0.11795803733685775
Baseline_6h,DRO,6053,7.872231370844609,0.0,67.91771278876104,900,0.14868660168511483
E1_8h,SAA,6053,2.154842910389854,0.0,5.079861642918268,485,0.08012555757475633
E1_8h,DRO,6053,2.3493228182214803,0.0,9.715724631364553,544,0.08987279035189162
E2_6h_pmax_4over3,SAA,6053,2.1256650019060754,0.0,5.736417105913788,459,0.07583016685940856
E2_6h_pmax_4over3,DRO,6053,2.333503872398487,0.0,8.55835601103794,516,0.08524698496613249
E3_8h_htt_4over3,SAA,6053,2.153348359520585,0.0,5.182336415462649,474,0.07830827688749381
E3_8h_htt_4over3,DRO,6053,2.339013260668063,0.0,10.54681107723216,558,0.09218569304477119
