checkpoint_relative_hour,hydrogen_side_recovered,grid_aware_identifiable,grid_aware_supported,grid_clipping_removed,not_identifiable,identifiable_rate,retention_ratio
-16,31,31,27,4,0,1,0.870967741935
-8,9,9,9,0,0,1,1
-4,8,8,3,5,0,1,0.375
