path_id,hydrogen_recovered_events,grid_retained_events,earliest_hydrogen_recovered_checkpoint,failure_type,tail_group,earliest_grid_retained_checkpoint,grid_removed_event_count,window_shift_checkpoints
152,1,1,-16,mixed,difficult4,-16,0,0
467,1,1,-16,mixed,difficult4,-16,0,0
488,1,1,-16,mixed,difficult4,-16,0,0
518,1,1,-16,pure_quantity,extreme1,-16,0,0
643,1,1,-16,mixed,difficult4,-16,0,0
783,1,1,-8,mixed,difficult4,-8,0,0
801,1,1,-16,pure_quantity,difficult4,-16,0,0
869,2,2,-8,mixed,difficult4,-8,0,0
965,1,1,-4,mixed,difficult4,-4,0,0
1165,1,1,-16,pure_quantity,extreme1,-16,0,0
1320,1,1,-16,pure_quantity,extreme1,-16,0,0
1432,2,1,-8,mixed,difficult4,-8,1,0
1580,1,0,-4,mixed,difficult4,,1,
1666,1,1,-16,mixed,difficult4,-16,0,0
2000,1,1,-16,pure_quantity,extreme1,-16,0,0
2052,1,1,-16,mixed,difficult4,-16,0,0
2103,1,1,-16,mixed,difficult4,-16,0,0
2435,1,1,-16,pure_quantity,difficult4,-16,0,0
2467,1,1,-16,mixed,difficult4,-16,0,0
2501,1,1,-16,mixed,difficult4,-16,0,0
3269,1,1,-8,mixed,difficult4,-8,0,0
3349,1,0,-16,pure_quantity,difficult4,,1,
3381,1,1,-8,mixed,difficult4,-8,0,0
3951,1,1,-8,pure_quantity,difficult4,-8,0,0
3997,2,1,-8,mixed,difficult4,-8,1,0
4007,1,1,-16,pure_quantity,difficult4,-16,0,0
4711,1,0,-16,mixed,difficult4,,1,
4723,1,1,-16,pure_quantity,extreme1,-16,0,0
5685,1,1,-16,pure_quantity,difficult4,-16,0,0
6098,1,1,-16,mixed,difficult4,-16,0,0
6266,1,1,-16,mixed,difficult4,-16,0,0
6663,1,1,-16,mixed,difficult4,-16,0,0
7669,1,1,-16,mixed,difficult4,-16,0,0
7786,1,0,-16,mixed,difficult4,,1,
7862,1,1,-16,mixed,difficult4,-16,0,0
8332,1,1,-16,pure_quantity,extreme1,-16,0,0
8384,1,0,-4,mixed,difficult4,,1,
8440,2,1,-8,mixed,difficult4,-8,1,0
8716,1,1,-16,mixed,difficult4,-16,0,0
8747,1,1,-16,mixed,difficult4,-16,0,0
9334,1,1,-4,pure_quantity,difficult4,-4,0,0
9428,1,0,-16,pure_quantity,extreme1,,1,
9825,1,1,-16,mixed,difficult4,-16,0,0
9955,1,1,-8,mixed,difficult4,-8,0,0
