relative_hour,path_count,mean_production_kg,mean_inventory_kg,mean_HTT_kg,mean_shortage_kg,electrolyzer_binding_fraction,mean_P_EL_kW,voltage_binding_fraction,line_binding_fraction,combined_binding_fraction,mean_min_voltage_pu,mean_max_line_loading
-15,473,10.0850917753,240.525833937,9.54377095572,0.632250477778,0.712473572939,517.184193606,0,0,0.712473572939,0.919271521908,0.665371848981
-14,473,9.92153707781,244.08131857,0.431225272662,0.535355860529,0.674418604651,508.796773221,0,0,0.674418604651,0.921198408991,0.646286890783
-13,473,9.80712779766,249.147863446,0.375933101767,0.407804297087,0.674418604651,502.929630649,0,0,0.674418604651,0.918931408942,0.661097852727
-12,473,9.49652728404,254.893246876,0.484530331082,0.318412533486,0.672304439746,487.001399181,0.217758985201,0,0.672304439746,0.915417422876,0.696704823202
-11,473,9.1251914746,260.275849688,0.632186779389,0.347795566541,0.672304439746,467.958537159,0.217758985201,0,0.672304439746,0.915755981149,0.700928128651
-10,473,9.03563966782,264.905747338,0.911207010432,0.460714805578,0.655391120507,463.366136811,0.22621564482,0,0.655391120507,0.917241204753,0.689289846926
-9,473,9.79001724203,269.04099617,0.890233400134,0.668793880336,0.763213530655,502.052166258,0.241014799154,0,0.763213530655,0.918484581391,0.681388086678
-8,473,11.3334460567,273.901615012,1.41009629307,0.71499957741,0.803382663848,581.202361883,0,0,0.803382663848,0.916421018018,0.680747168804
-7,473,12.1973713556,281.086370525,12.6707656801,1.83542917338,0.877378435518,625.506223365,0,0,0.877378435518,0.916958711845,0.674334551919
-6,473,11.7873986821,288.972612169,0.98678313755,1.43300819788,0.826638477801,604.481983697,0,0,0.826638477801,0.919312954979,0.652163435301
-5,473,11.5843135231,297.567929332,1.2314726628,1.09742046388,0.822410147992,594.06736016,0,0,0.822410147992,0.918086562578,0.660972464874
-4,473,11.2303385779,306.175942191,0.979026143417,1.00154145452,0.820295983087,575.914798868,0.143763213531,0,0.820295983087,0.916859360646,0.678679395652
-3,473,10.7484856966,313.952540107,0.6837932403,1.21206393217,0.807610993658,551.204394696,0.143763213531,0,0.807610993658,0.917524912688,0.678225556492
-2,473,10.5044242058,320.43508594,1.32743707109,1.72912353784,0.788583509514,538.688420808,0.14799154334,0,0.788583509514,0.918897329581,0.667487062687
-1,473,11.0538696553,325.896803299,1.27361746137,2.46918626903,0.816067653277,566.865110528,0.158562367865,0,0.816067653277,0.920339746393,0.656528454433
0,473,11.5445593154,331.010580945,2.47727973924,2.76345837123,0.799154334038,592.028682843,0,0,0.799154334038,0.918337681099,0.663266129893
