island_buses,eligible_real_roots,selected_topological_root,actual_injecting_sources,root_uniqueness,one_topological_root,case,interval_start_h,interval_end_h
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-1,0.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,CASE-2,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,CASE-2,1.0,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,CASE-2,1.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-3,0.0,1.0
[24],[24],24,"[""FC-1""]",True,True,CASE-3,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-3,1.0,2.0
[24],[24],24,"[""FC-1""]",True,True,CASE-3,1.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-3,2.0,3.5
[24],[24],24,"[""FC-1""]",True,True,CASE-3,2.0,3.5
