case,interval_start_h,interval_end_h,vehicle_arrival_h,vehicle_state,P_MFCV_available_kW,P_MFCV_actual_kW,Q_MFCV_actual_kvar,served_P_kW,H2_before_kg,H2_use_kg,H2_after_kg,duration_h
CASE-4,0.0,1.2166666666667,1.2166666666667,NOT_ARRIVED,220.0,0.0,0.0,0.0,10.0,0.0,10.0,1.2166666666667
CASE-4,1.2166666666667,1.5,1.2166666666667,SERVICE,220.0,90.0,43.58898943540673,90.0,10.0,1.3910481957284995,8.6089518042715,0.2833333333332999
CASE-4,1.5,3.5,1.2166666666667,SERVICE,220.0,78.9075000000015,38.21664648749358,78.9075000000015,8.6089518042715,8.6089518042715,0.0,2.0
