case,interval_start_h,interval_end_h,EENS_kWh
CASE-1,0.0,3.5,0.0
CASE-2,0.0,1.0,0.0
CASE-2,1.0,1.5,0.0
CASE-2,1.5,3.5,0.0
CASE-3,0.0,1.0,120.0
CASE-3,1.0,2.0,120.0
CASE-3,2.0,3.5,180.0
CASE-4,0.0,1.2166666666667,109.50000000000301
CASE-4,1.2166666666667,1.5,0.0
CASE-4,1.5,3.5,22.184999999996762
CASE-5,0.0,1.0,0.0
CASE-5,1.0,1.2166666666667,0.0
CASE-5,1.2166666666667,1.5,0.0
CASE-5,1.5,3.5,0.0
CASE-6,0.0,1.0,0.0
CASE-6,1.0,2.0,0.0
CASE-6,2.0,2.5,45.0
CASE-6,2.5,3.5,90.0
CASE-7,0.0,1.0,0.0
CASE-7,1.0,2.0,88.34249999999975
CASE-7,2.0,3.5,135.0
CASE-8,0.0,3.5,315.0
CASE-9,0.0,3.5,0.0
CASE-10,0.0,1.2166666666667,0.0
CASE-10,1.2166666666667,3.5,0.0
CASE-11,0.0,3.5,0.0
CASE-12,0.0,1.0,0.0
CASE-12,1.0,2.0,0.0
CASE-12,2.0,3.5,0.0
CASE-13_EVENT,0.0,1.0,90.0
CASE-13_EVENT,1.0,1.2166666666667,19.50000000000301
CASE-13_EVENT,1.2166666666667,1.5,0.0
CASE-13_EVENT,1.5,3.5,22.184999999996762
CASE-13_DELAY,0.0,1.0,90.0
CASE-13_DELAY,1.0,1.5,45.0
CASE-13_DELAY,1.5,3.5,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.0
