case,interval_start_h,interval_end_h,duration_h,resource_type,resource_id,bus,station_site,available_Pmax_kW,actual_P_kW,actual_Q_kvar,H2_before_kg,H2_use_kg,H2_after_kg,Q_cap_kvar
CASE-1,0.0,3.5,3.5,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-1,0.0,3.5,3.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-1,0.0,3.5,3.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-1,0.0,3.5,3.5,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-2,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,69.1553559615926,16.365272890923023,52.79008307066958,145.29663145133418
CASE-2,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,55.5009093832021,8.182636445462727,47.31827293773937,72.64831572567788
CASE-2,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,33.3376415005701,6.546109156370182,26.79153234419992,58.1186525805423
CASE-2,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,37.9373084666148,8.182636445462727,29.754672021152075,72.64831572567788
CASE-2,1.0,1.5,0.5,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,52.79008307066958,8.182636445461512,44.60744662520807,145.29663145133418
CASE-2,1.0,1.5,0.5,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,47.31827293773937,4.091318222731363,43.226954715008006,72.64831572567788
CASE-2,1.0,1.5,0.5,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,26.79153234419992,3.273054578185091,23.518477766014826,58.1186525805423
CASE-2,1.0,1.5,0.5,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,29.754672021152075,4.091318222731363,25.66335379842071,72.64831572567788
CASE-2,1.5,3.5,2.0,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,44.60744662520807,32.73054578184605,11.876900843362023,145.29663145133418
CASE-2,1.5,3.5,2.0,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,43.226954715008006,16.365272890925453,26.861681824082552,72.64831572567788
CASE-2,1.5,3.5,2.0,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,23.518477766014826,13.092218312740364,10.426259453274461,58.1186525805423
CASE-2,1.5,3.5,2.0,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,25.66335379842071,16.365272890925453,9.298080907495258,72.64831572567788
CASE-3,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,69.1553559615926,16.365272890925453,52.79008307066715,145.29663145135575
CASE-3,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-3,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-3,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-3,1.0,2.0,1.0,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,52.79008307066715,16.365272890925453,36.4248101797417,145.29663145135575
