case,interval_start_h,interval_end_h,duration_h,resource_type,resource_id,vehicle_id,bus,eligible,moving,available_Pmax_kW,actual_P_kW,actual_Q_kvar,H2_before_kg,H2_use_kg,H2_after_kg,Q_cap_kvar
CASE-1,0.0,3.5,3.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-1,0.0,3.5,3.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-1,0.0,3.5,3.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-1,0.0,3.5,3.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-1,0.0,3.5,3.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-1,0.0,3.5,3.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,1.0,1.5,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-2,1.5,3.5,2.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,1.0,2.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,2.0,3.5,1.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-3,2.0,3.5,1.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-3,2.0,3.5,1.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
