case,bin_start_h,bin_end_h,EENS_kWh
CASE-13_DELAY_REFERENCE,0.0,0.5,0.0
CASE-13_DELAY_REFERENCE,0.5,1.0,0.0
CASE-13_DELAY_REFERENCE,1.0,1.5,0.0
CASE-13_DELAY_REFERENCE,1.5,2.0,0.0
CASE-13_DELAY_REFERENCE,2.0,2.5,0.0
CASE-13_DELAY_REFERENCE,2.5,3.0,0.0
CASE-13_DELAY_REFERENCE,3.0,3.5,0.0
