figure,title,sample,inspection_method,nonblank,chinese_text_readable,no_incoherent_overlap,pass
01_10000条路线最终去向.png,10000条台风路线最后去了哪里,10000条路径,contact_sheet_manual_inspection,True,True,True,True
02_Stage7零目标与正目标.png,Stage7零目标与正目标,6124条Stage7路径,contact_sheet_manual_inspection,True,True,True,True
03_达标路线多存多少.png,已经达到最终储备目标的路线，通常多存了多少氢,650条正目标达标路径,contact_sheet_manual_inspection,True,True,True,True
04_四站达标后超额库存.png,达到目标以后，四个站分别还多存了多少氢,650条正目标达标路径,contact_sheet_manual_inspection,True,True,True,True
05_35状态不足率.png,哪些最终台风状态最容易库存不足,6124条Stage7路径，格内标样本数,contact_sheet_and_individual_original_manual_inspection,True,True,True,True
06_35状态不足严重程度.png,库存不足时，哪些状态平均缺得最多,6124条Stage7路径，格内标样本数,contact_sheet_manual_inspection,True,True,True,True
07_35状态达标后超额.png,哪些状态达到目标后仍然多存很多氢,6124条Stage7路径，格内标样本数,contact_sheet_manual_inspection,True,True,True,True
08_到达时间乘最终强度.png,风险确认时间与最终强度的联合影响,6124条Stage7路径,contact_sheet_manual_inspection,True,True,True,True
09_不足发生站点.png,最终库存不足通常发生在哪个站,473条最终库存不足路径,contact_sheet_manual_inspection,True,True,True,True
10_三类不足原因.png,三类最终库存不足路径,473条最终库存不足路径,contact_sheet_manual_inspection,True,True,True,True
11_位置问题形成时间线.png,最终位置不合适的路线，四个站从什么时候开始出现库存偏差,355条纯位置或混合不足路径,contact_sheet_manual_inspection,True,True,True,True
12_HTT是否搬向缺口站.png,HTT是否真正从有余量站搬向缺口站,按保存的正HTT流量统计,contact_sheet_manual_inspection,True,True,True,True
13_不足路径四站电解槽负荷.png,不足路径最后16小时四站电解槽负荷,473条不足路径的最后16小时,contact_sheet_manual_inspection,True,True,True,True
14_普通缺氢与最终储备.png,普通缺氢与最终储备的交叉结果,6124条Stage7路径,contact_sheet_manual_inspection,True,True,True,True
15_消散路径预防库存.png,不同时间消散的路线留下多少预防性库存,3497条物理消散路径,contact_sheet_manual_inspection,True,True,True,True
16_风险尾部完整比较.png,95%/4%/1%最终缺口与贡献,6124条Stage7路径,contact_sheet_manual_inspection,True,True,True,True
17_三条代表性路线.png,三条代表性路线：正常达标、明显超额、最严重不足,机械规则选择的3条路径,contact_sheet_and_individual_original_manual_inspection,True,True,True,True
18_成本分布与最终结果.png,实际运行成本及其与最终储备的关系,10000条成本路径；6124条Stage7路径,contact_sheet_manual_inspection,True,True,True,True
19_训练深度稳定性.png,训练接近5小时时，第一阶段制氢量是否趋于稳定,346次训练迭代,contact_sheet_manual_inspection,True,True,True,True
