complexity_label,initial_state_id,distance_label,method,kappa,rho,T1,T2,T3,T4,T_total,objective_value,terminal_holding_cost,lambda_rho_cost,alpha_weighted_cost,robust_dual_loss,lambda,loss_mean,loss_q95,loss_q99,loss_max,service_cost_mean,shortage_kg_mean,upper_bound_count,iteration_count,active_constraint_count,active_constraint_ratio,max_independent_violation,gurobi_time_sec,separation_time_sec,independent_scan_time_sec,total_call_time_sec,observed_memory_snapshot_peak_mb,fair_scale_factor,solve_status
simple,7,old_D_A_maskedC,old,NaN,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,952492.888528894,269.342968707714,0,0,313517.729076791,5.86207516381402,0.13174044677195,0,2,3999,0.00099975,2.5465851649642e-11,0.836579,0.0523472,0.0185741,1.7193785,2300.16796875,1,OPTIMAL
simple,7,old_D_A_maskedC,old,NaN,0.02,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,273.552722119491,16840.813159309,547.105444238983,16073.233184368,220.474530702069,16293.70771507,803661.659218398,220.474530702069,0,0,264811.765354087,6.04927641665383,0.107212627142708,0,3,5989,0.00149725,2.5465851649642e-11,1.058776,0.0501575,0.0115048,1.7316048,2321.203125,1,OPTIMAL
simple,7,new_Ctilde_k0p5,ctilde,0.5,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,914318.697711708,269.342968707714,0,0,313517.729076791,5.86207516381402,0.13174044677195,0,2,3999,0.00099975,2.5465851649642e-11,0.6749246,0.033758,0.0129608,1.3388321,2431.359375,1.28851783081734,OPTIMAL
simple,7,new_Ctilde_k0p5,ctilde,0.5,0.02,65.4930454277155,50.7323459618689,66.5521097564302,93.8275645746393,276.605065720654,15854.9909963316,553.210131441308,15076.5289805233,225.251884366973,15301.7808648903,753826.449026167,214.505289102766,0,0,258727.548086571,6.18472201967624,0.104160283541545,0,3,5988,0.001497,2.91038304567337e-11,1.0347426,0.0488476,0.0119758,1.7077937,2451.0390625,1.28851783081734,OPTIMAL
simple,7,new_Ctilde_k1p0,ctilde,1,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,837575.768524625,269.342968707714,0,0,313517.729076791,5.86207516381402,0.13174044677195,0,2,3999,0.00099975,2.5465851649642e-11,0.6680522,0.0337979,0.0146891,1.3596999,2552.86328125,1.28851783081734,OPTIMAL
simple,7,new_Ctilde_k1p0,ctilde,1,0.02,69.6815647739457,50.7323459618689,66.5521097564302,93.8275645746393,280.793585066884,14140.2094317523,561.587170133768,13363.9437666683,214.678494950177,13578.6222616185,668197.188333417,206.153677342595,0,0,250407.177673452,6.21014895196482,0.0999717641953149,0,3,5989,0.00149725,0,1.0875035,0.0514035,0.0142794,1.7713494,2569.26953125,1.28851783081734,OPTIMAL
simple,7,new_Ctilde_k1p5,ctilde,1.5,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,822189.455142376,269.342968707714,0,0,313517.729076791,5.86207516381402,0.13174044677195,0,3,4000,0.001,1.20508047984913e-11,1.1389867,0.0571049,0.0159603,1.925278,2670.28515625,1.28851783081734,OPTIMAL
simple,7,new_Ctilde_k1p5,ctilde,1.5,0.02,73.0160301338559,50.7323459618689,66.5521097564302,93.8275645746393,284.128050426794,12775.2637301804,568.256100853589,12000.7454329975,206.262196329328,12207.0076293268,600037.271649876,199.505437501535,0,0,243784.257546076,6.23083983072592,0.0966372988354046,0,3,5989,0.00149725,0,1.1343213,0.051644,0.0143435,1.8436486,2682.515625,1.28851783081734,OPTIMAL
medium,18,old_D_A_maskedC,old,NaN,0,300,200,100,150,750,17968.2566965198,1500,0,16468.2566965198,16468.2566965198,7756972.28001401,16468.2566965198,94640.3311851519,340089.215861018,820593.853831067,1055.13447520681,7.70656111065652,4,3,4001,0.00100025,3.18323145620525e-12,2.0133809,0.0644847,0.0184893,2.9693431,2375.62890625,1,OPTIMAL
medium,18,old_D_A_maskedC,old,NaN,0.02,204.234292192948,112.088995684526,69.8001816169577,119.777352987909,505.900822482341,77239.3357246591,1011.80164496468,43144.734675034,33082.7994046604,76227.5340796944,2157236.7337517,23554.0224085105,168717.359721595,437972.338454199,820593.853831067,994.013619765533,11.2800043943725,0,4,4174,0.0010435,0,6.9497593,0.111808,0.0182101,7.7987239,2393.078125,1,OPTIMAL
