complexity_label,initial_state_id,distance_label,method,kappa,pair_sample_count,spearman_distance_loss_difference,small_distance_q05,large_loss_difference_q95,small_distance_large_loss_count,small_distance_large_loss_share,zero_distance_positive_loss_count,loss_difference_mean,loss_difference_q95,loss_difference_max
simple,7,old_D_A_maskedC,old,NaN,200000,0.999981148026074,0,0,0,0,0,452.142107171777,0,264811.765354087
simple,7,new_Ctilde_k0p5,ctilde,0.5,200000,0.999980021510342,0,0,0,0,0,439.929652669895,0,258727.548086571
simple,7,new_Ctilde_k1p0,ctilde,1,200000,0.999983072414798,0,0,0,0,0,422.849821006379,0,250407.177673452
simple,7,new_Ctilde_k1p5,ctilde,1.5,200000,0.999983074486953,0,0,0,0,0,409.253547349869,0,243784.257546076
medium,18,old_D_A_maskedC,old,NaN,200000,0.864658560133243,0,240183.984401152,0,0,0,42937.1388624755,240183.984401152,820593.853831067
medium,18,new_Ctilde_k0p5,ctilde,0.5,200000,0.843454561836287,0,239986.471050147,0,0,0,42530.9934939794,239986.471050147,820593.853831067
medium,18,new_Ctilde_k1p0,ctilde,1,200000,0.860738574951653,0,202652.550319542,0,0,0,36806.7472414856,202652.550319542,820593.853831067
medium,18,new_Ctilde_k1p5,ctilde,1.5,200000,0.86376167870187,0,183504.291736174,0,0,0,34410.2285905502,183504.291736174,820593.853831067
complex,30,old_D_A_maskedC,old,NaN,200000,0.0742655043669552,0.101141251803133,611581.752454667,240,0.0012,0,196548.376843025,611581.752454667,920305.904537064
complex,30,new_Ctilde_k0p5,ctilde,0.5,200000,0.0615559416785146,0.0878050156569761,611581.752454667,199,0.000995,0,196548.376843025,611581.752454667,920305.904537064
complex,30,new_Ctilde_k1p0,ctilde,1,200000,0.207235420036282,0.103001517796764,611581.752454667,62,0.00031,0,196548.376843025,611581.752454667,920305.904537064
complex,30,new_Ctilde_k1p5,ctilde,1.5,200000,0.309218430848726,0.102845711646237,611581.752454667,34,0.00017,0,196548.376843025,611581.752454667,920305.904537064
