complexity_label,initial_state_id,distance_label,requested_method,kappa,C_bound_km,weight_D,weight_A_old,weight_C_old,weight_Ctilde,unscaled_min,unscaled_nonzero_median,unscaled_max,fair_scale_factor,old_nonzero_median,scaled_nonzero_median,scaled_max,Ctilde_min_positive,Ctilde_nonzero_median,Ctilde_max
simple,7,old_D_A_maskedC,old,NaN,NaN,0.6,0.25,0.15,0.4,0,0.261291590891034,0.678391160810318,1,0.261291590891034,0.261291590891034,0.678391160810318,NaN,NaN,NaN
simple,7,new_Ctilde_k0p5,ctilde,0.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.202784613950814,0.625100462221643,1.28851783081734,0.261291590891034,0.261291590891034,0.805453091624746,0.0012414810424818,0.00927458061566423,0.261449251358837
simple,7,new_Ctilde_k1p0,ctilde,1,357.152644741608,0.6,0.25,0.15,0.4,0,0.202784613950814,0.649342886464067,1.28851783081734,0.261291590891034,0.261291590891034,0.836689887523348,0.0012414810424818,0.00927458061566423,0.515237130146716
simple,7,new_Ctilde_k1p5,ctilde,1.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.202784613950814,0.673585310706491,1.28851783081734,0.261291590891034,0.261291590891034,0.86792668342195,0.0012414810424818,0.00927458061566423,0.769025008934595
medium,18,old_D_A_maskedC,old,NaN,NaN,0.6,0.25,0.15,0.4,0,0.26648721399687,0.841752421856703,1,0.26648721399687,0.26648721399687,0.841752421856703,NaN,NaN,NaN
medium,18,new_Ctilde_k0p5,ctilde,0.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.240023750181763,0.780548754286852,1.11025352197467,0.26648721399687,0.26648721399687,0.866607003519915,1.84059273505339e-07,0.0224262642821525,0.471219460760284
medium,18,new_Ctilde_k1p0,ctilde,1,357.152644741608,0.6,0.25,0.15,0.4,0,0.260636448094635,0.960851784589882,1.02244799583867,0.26648721399687,0.26648721399687,0.982420981451939,1.84059273505339e-07,0.036328806414137,0.940916430457253
medium,18,new_Ctilde_k1p5,ctilde,1.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.280251167500223,1.14115481489291,0.950887078808183,0.26648721399687,0.26648721399687,1.08510936840141,1.84059273505339e-07,0.0514589080919789,1.41061340015422
complex,30,old_D_A_maskedC,old,NaN,NaN,0.6,0.25,0.15,0.4,0,0.288480846795591,0.846255955695212,1,0.288480846795591,0.288480846795591,0.846255955695212,NaN,NaN,NaN
complex,30,new_Ctilde_k0p5,ctilde,0.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.249752289347257,0.790936542126633,1.15506787765411,0.288480846795591,0.288480846795591,0.913585393073291,8.80281425116818e-07,0.227669507384924,0.484848484848485
complex,30,new_Ctilde_k1p0,ctilde,1,357.152644741608,0.6,0.25,0.15,0.4,0,0.340026559764269,0.981845633035723,0.848406803855519,0.288480846795591,0.288480846795591,0.833004515403337,8.80281425116818e-07,0.448022328663914,0.96969696969697
complex,30,new_Ctilde_k1p5,ctilde,1.5,357.152644741608,0.6,0.25,0.15,0.4,0,0.430027669048611,1.17275472394481,0.670842523770211,0.288480846795591,0.288480846795592,0.786733738774577,8.80281425116818e-07,0.670277967296813,1.45454545454545
