complexity_label,initial_state_id,kappa,TerminalLOH_max_abs_difference_vs_old,objective_difference_vs_old,validation_total_cost_difference_mean,validation_total_cost_difference_max,validation_q95_difference_max,validation_q99_difference_max
simple,7,0.5,22.879428183282,-985.82216297738,3.63900337993363,3.65050958089489,0,0
simple,7,1,21.8203638545673,-2700.60372755671,7.70690830745639,7.73158130205752,0,0
simple,7,1.5,21.8203638545673,-4065.54942912858,10.958195092904,10.9904903102699,0,0
medium,18,0.5,2.88608064784296,6431.80709635247,-244.573519761272,-229.867586185137,-1451.31238083637,2808.03384657472
medium,18,1,20.5558370297879,-9835.26492829096,-3463.76668888675,-3442.23441465795,-49986.1565568139,-33696.7433645136
medium,18,1.5,26.9598813288102,-15749.2235225566,-4590.24707133357,-4390.95340380234,-56295.7136098739,-34684.8163229591
complex,30,0.5,0,13580.0650991428,0,0,0,0
complex,30,1,0,-16707.1440041928,0,0,0,0
complex,30,1.5,0,-27777.9996298372,0,0,0,0
