complexity_label,initial_state_id,distance_label,method,kappa,pair_category,near_q05_cut,far_q95_cut,source_scenario_index,destination_scenario_index,transport_cost,absolute_loss_difference,probability_mass_transferred,baseline_T1,baseline_T2,baseline_T3,baseline_T4,shifted_T1,shifted_T2,shifted_T3,shifted_T4,TerminalLOH_max_abs_change,objective_change,source_to_destination_active_constraint,max_independent_violation
simple,7,old_D_A_maskedC,old,NaN,near,0.0500672947508859,0.678391160810318,1036,1297,0.0500672947508859,84.6063627341755,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,0,0.0211515906848945,0,2.5465851649642e-11
simple,7,old_D_A_maskedC,old,NaN,far,0.0500672947508859,0.678391160810318,1974,508,0.678391160810318,264811.765354087,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,111.283855658293,50.7323459618689,66.5521097564302,93.8275645746393,22.9113820472956,42.6402152590781,1,0
simple,7,new_Ctilde_k0p5,ctilde,0.5,near,0.0609381040520824,0.805453091624746,1344,224,0.0609381040520824,45936.7545879684,0.00025,65.4930454277155,50.7323459618689,66.5521097564302,93.8275645746393,65.4930454277155,50.7323459618689,66.5521097564302,93.8275645746393,1.4210854715202e-14,11.4841886469912,1,2.91038304567337e-11
simple,7,new_Ctilde_k0p5,ctilde,0.5,far,0.0609381040520824,0.805453091624746,1974,508,0.805453091624746,258727.548086571,0.00025,65.4930454277155,50.7323459618689,66.5521097564302,93.8275645746393,111.283855658293,50.7323459618689,77.6242729153104,93.8275645746393,45.7908102305776,37.4674379076223,1,2.91038304567337e-11
simple,7,new_Ctilde_k1p0,ctilde,1,near,0.0645126020273037,0.836689887523348,1036,1297,0.0645126020273037,84.6063627341755,0.00025,69.6815647739457,50.7323459618689,66.5521097564302,93.8275645746393,69.6815647739457,50.7323459618689,66.5521097564302,93.8275645746393,0,0.0211515906830755,0,0
simple,7,new_Ctilde_k1p0,ctilde,1,far,0.0645126020273037,0.836689887523348,1974,508,0.836689887523348,250407.177673452,0.00025,69.6815647739457,50.7323459618689,66.5521097564302,93.8275645746393,111.283855658293,50.7323459618689,75.3551043836059,93.8275645746393,41.6022908843474,38.491629942826,1,1.13686837721616e-12
simple,7,new_Ctilde_k1p5,ctilde,1.5,near,0.0645126020273037,0.86792668342195,1036,1297,0.0645126020273037,84.6063627341755,0.00025,73.0160301338559,50.7323459618689,66.5521097564302,93.8275645746393,73.0160301338559,50.7323459618689,66.5521097564302,93.8275645746393,1.4210854715202e-14,0.0211515906848945,0,0
simple,7,new_Ctilde_k1p5,ctilde,1.5,far,0.0645126020273037,0.86792668342195,1974,508,0.86792668342195,243784.257546076,0.00025,73.0160301338559,50.7323459618689,66.5521097564302,93.8275645746393,111.283855658293,50.7323459618689,73.5488720652298,93.8275645746393,38.2678255244371,39.3059728714943,1,1.34150468511507e-11
medium,18,old_D_A_maskedC,old,NaN,near,0.0331090174965808,0.601760133424884,1198,1062,0.032021733969105,220877.438231427,0.00025,204.234292192948,112.088995684526,69.8001816169577,119.777352987909,204.234292192948,112.088995684526,69.8001816169578,119.777352987914,5.11590769747272e-12,9.14590588385181,0,0
medium,18,old_D_A_maskedC,old,NaN,far,0.0331090174965808,0.601760133424884,417,1142,0.82080449153802,820593.853831067,0.00025,204.234292192948,112.088995684526,69.8001816169577,119.777352987909,204.234292192948,112.088995684526,69.8001816169577,119.777352987909,0,205.148463457765,1,0
medium,18,new_Ctilde_k0p5,ctilde,0.5,near,0.0338876515397602,0.61581845817073,1198,1062,0.0254979225376479,224323.371351274,0.00025,204.702050093383,114.300042933959,67.0976188527944,122.663433635752,204.702050093383,114.300042933959,67.0976188527944,122.663433635752,0,8.56422539257619,0,5.82076609134674e-11
medium,18,new_Ctilde_k0p5,ctilde,0.5,far,0.0338876515397602,0.61581845817073,417,1142,0.83951525787013,820593.853831067,0.00025,204.702050093383,114.300042933959,67.0976188527944,122.663433635752,204.702050093383,114.300042933959,67.0976188527944,122.663433635752,0,205.148463457765,1,5.82076609134674e-11
medium,18,new_Ctilde_k1p0,ctilde,1,near,0.0313752547847691,0.649676734955607,1281,1242,0.0176405972168195,92918.6454474996,0.00025,218.040459872169,123.90146941348,86.1752370538934,140.333190017697,218.040459872068,123.90146941348,86.1752370538934,140.333190017697,1.00982333606225e-10,6.31900836229033,0,3.63797880709171e-12
medium,18,new_Ctilde_k1p0,ctilde,1,far,0.0313752547847691,0.649676734955607,417,1142,0.963668468511639,820593.853831067,0.00025,218.040459872169,123.90146941348,86.1752370538934,140.333190017697,218.040459872169,123.90146941348,86.1752370538934,140.333190017697,0,205.148463457765,1,7.27595761418343e-12
medium,18,new_Ctilde_k1p5,ctilde,1.5,near,0.0291793073981035,0.716785845938927,1281,1242,0.0221688875750302,92918.2281170448,0.00025,231.194173521758,138.008602974561,90.6182631945966,137.926707697258,231.194173521758,138.008602974544,90.6182631946136,137.926707697276,1.74793512996985e-11,7.48761651107634,0,4.54747350886464e-13
