state_id,intensity,loc,nonnegative_violation_count,nonfinite_count,Dres_exceeds_Draw_count,main_grid_recovered_Dres_nonzero_count,raw_partition_max_abs_error,residual_partition_max_abs_error,H2_island_positive_Dres_count,black_island_positive_Dres_count,gate
1,2,1,0,0,0,0,0.0,0.0,293,112,PASS
2,2,2,0,0,0,0,0.0,0.0,287,163,PASS
3,2,3,0,0,0,0,0.0,0.0,485,105,PASS
4,2,4,0,0,0,0,0.0,0.0,454,157,PASS
5,2,5,0,0,0,0,0.0,0.0,182,91,PASS
6,2,6,0,0,0,0,0.0,0.0,42,7,PASS
7,2,7,0,0,0,0,0.0,0.0,31,38,PASS
8,3,1,0,0,0,0,0.0,0.0,6308,2477,PASS
9,3,2,0,0,0,0,0.0,0.0,7794,3208,PASS
10,3,3,0,0,0,0,0.0,0.0,7515,2854,PASS
11,3,4,0,0,0,0,0.0,0.0,9187,3292,PASS
12,3,5,0,0,0,0,0.0,0.0,3969,1666,PASS
13,3,6,0,0,0,0,0.0,0.0,1339,486,PASS
14,3,7,0,0,0,0,0.0,0.0,199,59,PASS
15,4,1,0,0,0,0,0.0,0.0,50069,21688,PASS
16,4,2,0,0,0,0,0.0,0.0,65315,31473,PASS
17,4,3,0,0,0,0,0.0,0.0,68987,32858,PASS
18,4,4,0,0,0,0,0.0,0.0,68391,30351,PASS
19,4,5,0,0,0,0,0.0,0.0,30454,16015,PASS
20,4,6,0,0,0,0,0.0,0.0,10980,5663,PASS
21,4,7,0,0,0,0,0.0,0.0,2175,905,PASS
22,5,1,0,0,0,0,0.0,0.0,140317,77987,PASS
23,5,2,0,0,0,0,0.0,0.0,182087,111913,PASS
24,5,3,0,0,0,0,0.0,0.0,191295,123580,PASS
25,5,4,0,0,0,0,0.0,0.0,171871,109028,PASS
26,5,5,0,0,0,0,0.0,0.0,93559,62939,PASS
27,5,6,0,0,0,0,0.0,0.0,38612,22579,PASS
28,5,7,0,0,0,0,0.0,0.0,9847,4648,PASS
29,6,1,0,0,0,0,0.0,0.0,255028,176710,PASS
30,6,2,0,0,0,0,0.0,0.0,301668,245908,PASS
31,6,3,0,0,0,0,0.0,0.0,320718,292381,PASS
32,6,4,0,0,0,0,0.0,0.0,280729,249672,PASS
33,6,5,0,0,0,0,0.0,0.0,187159,155049,PASS
34,6,6,0,0,0,0,0.0,0.0,99474,62624,PASS
35,6,7,0,0,0,0,0.0,0.0,37938,17913,PASS
