state_id,intensity,loc,nonbinary_count,main_grid_recovered_Aelec_nonzero_count,black_island_Aelec_nonzero_count,H2_island_Aelec_positive_count,P_any_Aelec,gate
1,2,1,0,0,0,605,0.0018666666666666666,PASS
2,2,2,0,0,0,520,0.0017333333333333333,PASS
3,2,3,0,0,0,745,0.0024666666666666665,PASS
4,2,4,0,0,0,1002,0.0021333333333333334,PASS
5,2,5,0,0,0,256,0.0014666666666666667,PASS
6,2,6,0,0,0,95,0.0003333333333333333,PASS
7,2,7,0,0,0,39,0.00013333333333333334,PASS
8,3,1,0,0,0,12939,0.023066666666666666,PASS
9,3,2,0,0,0,15120,0.029,PASS
10,3,3,0,0,0,13275,0.034333333333333334,PASS
11,3,4,0,0,0,17902,0.03453333333333333,PASS
12,3,5,0,0,0,7171,0.0184,PASS
13,3,6,0,0,0,2177,0.008533333333333334,PASS
14,3,7,0,0,0,263,0.0017333333333333333,PASS
15,4,1,0,0,0,99477,0.13673333333333335,PASS
16,4,2,0,0,0,118471,0.18006666666666668,PASS
17,4,3,0,0,0,114029,0.211,PASS
18,4,4,0,0,0,118270,0.194,PASS
19,4,5,0,0,0,49377,0.1198,PASS
20,4,6,0,0,0,17039,0.05126666666666667,PASS
21,4,7,0,0,0,3264,0.012266666666666667,PASS
22,5,1,0,0,0,267811,0.31626666666666664,PASS
23,5,2,0,0,0,325723,0.4129333333333333,PASS
24,5,3,0,0,0,307055,0.47086666666666666,PASS
25,5,4,0,0,0,270583,0.4298,PASS
26,5,5,0,0,0,144281,0.3004,PASS
27,5,6,0,0,0,61570,0.15053333333333332,PASS
28,5,7,0,0,0,15699,0.0476,PASS
29,6,1,0,0,0,452685,0.5220666666666667,PASS
30,6,2,0,0,0,504322,0.6366,PASS
31,6,3,0,0,0,485392,0.7162666666666667,PASS
32,6,4,0,0,0,421453,0.6556666666666666,PASS
33,6,5,0,0,0,277182,0.5112,PASS
34,6,6,0,0,0,152679,0.3031333333333333,PASS
35,6,7,0,0,0,60470,0.13686666666666666,PASS
