relative_hour,total_shortfall_paths,valid_real_checkpoint_paths,checkpoint_not_present_paths,expected_previous_unrecoverable_count,recomputed_unrecoverable_count,previous_unrecoverable_count,recomputed_path_set_sha256,previous_path_set_sha256,path_set_exact_match
-16,473,470,3,70,70,70,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,True
-8,473,473,0,156,156,156,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,True
-4,473,473,0,167,167,167,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,True
